Key,File,Type,UsedInMainMenu,NoTranslate,KeepLoaded,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
resourceAECMutationSampleT1,items,Item,false,,,[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]1★[-],Ownership-only display-name override.,[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]1★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]1★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]1★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]1★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]1★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]1★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]1★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]1★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Образец мутации[-] [DECEA3]1★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]1★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]变异样本[-] [DECEA3]1★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]1★[-]
resourceAECMutationSampleT2,items,Item,false,,,[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]2★[-],Ownership-only display-name override.,[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]2★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]2★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]2★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]2★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]2★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]2★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]2★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]2★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Образец мутации[-] [DECEA3]2★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]2★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]变异样本[-] [DECEA3]2★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]2★[-]
resourceAECMutationSampleT3,items,Item,false,,,[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]3★[-],Ownership-only display-name override.,[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]3★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]3★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]3★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]3★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]3★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]3★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]3★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]3★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Образец мутации[-] [DECEA3]3★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]3★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]变异样本[-] [DECEA3]3★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]3★[-]
resourceAECMutationSampleT4,items,Item,false,,,[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]4★[-],Ownership-only display-name override.,[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]4★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]4★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]4★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]4★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]4★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]4★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]4★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]4★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Образец мутации[-] [DECEA3]4★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]4★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]变异样本[-] [DECEA3]4★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]4★[-]
resourceAECMutationSampleT5,items,Item,false,,,[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]5★[-],Ownership-only display-name override.,[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]5★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]5★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]5★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]5★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]5★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]5★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]5★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]5★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Образец мутации[-] [DECEA3]5★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]5★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]变异样本[-] [DECEA3]5★[-],[FFD700][AEC[-][F87C63]\PZ][-] [8EBE67]Mutation Sample[-] [DECEA3]5★[-]
aecUniversalToken,items,Item,false,,,[FFD700][AEC[-][F87C63]\PZ][-] [FFD700]Universal Token[-],Ownership-only display-name override.,[FFD700][AEC[-][F87C63]\PZ][-] [FFD700]Universal Token[-],[FFD700][AEC[-][F87C63]\PZ][-] [FFD700]Universal Token[-],[FFD700][AEC[-][F87C63]\PZ][-] [FFD700]Universal Token[-],[FFD700][AEC[-][F87C63]\PZ][-] [FFD700]Universal Token[-],[FFD700][AEC[-][F87C63]\PZ][-] [FFD700]Universal Token[-],[FFD700][AEC[-][F87C63]\PZ][-] [FFD700]Universal Token[-],[FFD700][AEC[-][F87C63]\PZ][-] [FFD700]Universal Token[-],[FFD700][AEC[-][F87C63]\PZ][-] [FFD700]Universal Token[-],[FFD700][AEC[-][F87C63]\PZ][-] [FFD700]Универсальный жетон[-],[FFD700][AEC[-][F87C63]\PZ][-] [FFD700]Universal Token[-],[FFD700][AEC[-][F87C63]\PZ][-] [FFD700]通用代币[-],[FFD700][AEC[-][F87C63]\PZ][-] [FFD700]Universal Token[-]
aecUniversalTokenDesc,items,item,false,,,"[FF8A65]IMPORTANT ITEM[-]\nDo not discard this resource; it is used by later modpack progression.\n\n[FFD700]Source[-]\nCompleted AEC contracts.\n\n[FF8A65]Not awarded for[-]\nOrdinary kills.\n\n[5ECFFF]Used for[-]\nAEC recipes, upgrades and progression.",v9.20.2 progression/reference,,,,,,,,,"[FF8A65]ВАЖНЫЙ ПРЕДМЕТ[-]\nВыбрасывать не рекомендуется: этот ресурс используется в дальнейшей прогрессии модпака.\n\n[FFD866]Получение[-]\nЗа выполнение контрактов AEC.\n\n[5ECFFF]Использование[-]\nРецепты, улучшения и развитие AEC.",,[FF8A65]重要物品[-]\n请勿丢弃此资源；整合包后续进度、配方和升级会用到它。\n\n[FFD700]来源[-]\n完成AEC契约。\n\n[FF8A65]不会通过以下方式获得[-]\n击杀普通敌人。\n\n[5ECFFF]用途[-]\n用于AEC配方、升级和进度。,
modAECMutatorAPM07,item_modifiers,Mod,false,,,[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.007[-],Continuous 100-level display-name override; no tier regrouping.,[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.007[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.007[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.007[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.007[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.007[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.007[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.007[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.007[-],[FFD700][AEC][-] [FFFFFF]Скорость атак[-] [FFD700]УР.007[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.007[-],[FFD700][AEC][-] [FFFFFF]攻击速度[-] [FFD700]等级007[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.007[-]
modAECMutatorAPM13,item_modifiers,Mod,false,,,[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.013[-],Continuous 100-level display-name override; no tier regrouping.,[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.013[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.013[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.013[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.013[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.013[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.013[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.013[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.013[-],[FFD700][AEC][-] [FFFFFF]Скорость атак[-] [FFD700]УР.013[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.013[-],[FFD700][AEC][-] [FFFFFF]攻击速度[-] [FFD700]等级013[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.013[-]
modAECMutatorAPM20,item_modifiers,Mod,false,,,[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.020[-],Continuous 100-level display-name override; no tier regrouping.,[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.020[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.020[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.020[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.020[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.020[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.020[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.020[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.020[-],[FFD700][AEC][-] [FFFFFF]Скорость атак[-] [FFD700]УР.020[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.020[-],[FFD700][AEC][-] [FFFFFF]攻击速度[-] [FFD700]等级020[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.020[-]
modAECMutatorAPM27,item_modifiers,Mod,false,,,[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.027[-],Continuous 100-level display-name override; no tier regrouping.,[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.027[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.027[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.027[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.027[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.027[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.027[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.027[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.027[-],[FFD700][AEC][-] [FFFFFF]Скорость атак[-] [FFD700]УР.027[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.027[-],[FFD700][AEC][-] [FFFFFF]攻击速度[-] [FFD700]等级027[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.027[-]
modAECMutatorAPM33,item_modifiers,Mod,false,,,[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.033[-],Continuous 100-level display-name override; no tier regrouping.,[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.033[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.033[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.033[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.033[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.033[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.033[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.033[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.033[-],[FFD700][AEC][-] [FFFFFF]Скорость атак[-] [FFD700]УР.033[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.033[-],[FFD700][AEC][-] [FFFFFF]攻击速度[-] [FFD700]等级033[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.033[-]
modAECMutatorAPM40,item_modifiers,Mod,false,,,[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.040[-],Continuous 100-level display-name override; no tier regrouping.,[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.040[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.040[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.040[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.040[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.040[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.040[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.040[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.040[-],[FFD700][AEC][-] [FFFFFF]Скорость атак[-] [FFD700]УР.040[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.040[-],[FFD700][AEC][-] [FFFFFF]攻击速度[-] [FFD700]等级040[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.040[-]
modAECMutatorAPM47,item_modifiers,Mod,false,,,[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.047[-],Continuous 100-level display-name override; no tier regrouping.,[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.047[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.047[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.047[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.047[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.047[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.047[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.047[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.047[-],[FFD700][AEC][-] [FFFFFF]Скорость атак[-] [FFD700]УР.047[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.047[-],[FFD700][AEC][-] [FFFFFF]攻击速度[-] [FFD700]等级047[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.047[-]
modAECMutatorAPM53,item_modifiers,Mod,false,,,[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.053[-],Continuous 100-level display-name override; no tier regrouping.,[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.053[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.053[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.053[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.053[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.053[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.053[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.053[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.053[-],[FFD700][AEC][-] [FFFFFF]Скорость атак[-] [FFD700]УР.053[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.053[-],[FFD700][AEC][-] [FFFFFF]攻击速度[-] [FFD700]等级053[-],[FFD700][AEC][-] [FFFFFF]Attack speed[-] [FFD700]LVL.053[-]
