Key,Source,Context,Changes,English,German
modEnhancedSpearDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to spear proficiency when wearing a full set of improved armor.,"Verstärkung für verbesserte Rüstung. In Handschuhen eingebaut.\n\nGewährt einen Bonus auf die Speerfertigkeit, wenn ein vollständiger Satz verbesserter Rüstung getragen wird."
modEnhancedClub,item_modifiers,mod,,[FF6666]«Boost»[-] Clubs,[FF6666]„Boost“[-] Clubs
modEnhancedClubDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to club proficiency when wearing a full set of improved armor.,"Verstärkung für verbesserte Rüstung. In Handschuhen eingebaut.\n\nGewährt einen Bonus auf die Schlägerkompetenz, wenn ein vollständiger Satz verbesserter Rüstung getragen wird."
modEnhancedSledgehammer,item_modifiers,mod,,[FF6666]«Boost»[-] Sledgehammers,[FF6666]«Boost»[-] Vorschlaghämmer
modEnhancedSledgehammerDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to sledgehammer proficiency when wearing a full set of improved armor.,"Verstärkung für verbesserte Rüstung. In Handschuhen eingebaut.\n\nGewährt einen Bonus auf die Vorschlaghammer-Fähigkeit, wenn ein vollständiger Satz verbesserter Rüstung getragen wird."
modEnhancedKnuckles,item_modifiers,mod,,[FF6666]«Boost»[-] Knuckles,[FF6666]„Boost“[-] Knuckles
modEnhancedKnucklesDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to knuckle proficiency when wearing a full set of improved armor.,"Verstärkung für verbesserte Rüstung. In Handschuhen eingebaut.\n\nGewährt einen Bonus auf die Knöchelkompetenz, wenn ein vollständiger Satz verbesserter Rüstung getragen wird."
modEnhancedKnife,item_modifiers,mod,,[FF6666]«Boost»[-] Knives and Machetes,[FF6666]«Boost»[-] Messer und Macheten
modEnhancedKnifeDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGives a bonus to knife and machete proficiency when wearing a full set of improved armor.,"Verstärkung für verbesserte Rüstung. In Handschuhen eingebaut.\n\nGewährt einen Bonus auf die Messer- und Machetenfähigkeiten, wenn ein vollständiger Satz verbesserter Rüstung getragen wird."
modEnhancedStunBaton,item_modifiers,mod,,[FF6666]«Boost»[-] Stun Batons,[FF6666]„Boost“[-] Betäubungsstäbe
modEnhancedStunBatonDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to stun baton proficiency when wearing a full set of improved armor.,"Verstärkung für verbesserte Rüstung. In Handschuhen eingebaut.\n\nGewährt einen Bonus auf die Betäubungsschlagfähigkeit, wenn ein vollständiger Satz verbesserter Rüstung getragen wird."
armorRogueHelmetImp,items,Clothes,,Rogue Hood [8692FF]Improved[-],Rogue Hood [8692FF]„Verbessert“[-]
armorRogueHelmetImpDesc,items,Clothes,,Light Armor\nAn improved version of the Rogue Hood. A true rogue always recognizes loot. You find more banknotes and dukes in loot. You are now better trained in combat.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt with bows and crossbows.\n\n[DECEA3]Repair requires repair kit (improved).[-],Leichte Rüstung\nEine verbesserte Version der Rogue Hood. Ein echter Schurke erkennt Beute immer. Weitere Banknoten und Dukes findest du in der Beute. Du bist jetzt im Kampf besser trainiert.\n\nVollständiger Set-Bonus: Verfügbarer [FF6666]Nahkampfwaffen-Boost[-] (installiert in Handschuhen). Erhöht den mit Bögen und Armbrüsten verursachten Schaden.\n\n[DECEA3]Reparatur erfordert Reparaturset (verbessert).[-]
armorRogueOutfitImp,items,Clothes,,Rogue Outfit [8692FF]Improved[-],Schurken-Outfit [8692FF]„Verbessert“[-]
armorRogueOutfitImpDesc,items,Clothes,,Light Armor\nAn improved version of the Rogue's outfit. Heals wounds like a dog. Increases the speed of critical wound healing. You can now carry more.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt by bows and crossbows.\n\n[DECEA3]Repair requires repair kit (improved).[-],Leichte Rüstung\nEine verbesserte Version des Schurken-Outfits. Heilt Wunden wie ein Hund. Erhöht die Geschwindigkeit der kritischen Wundheilung. Du kannst jetzt mehr tragen.\n\nVollständiger Set-Bonus: Verfügbarer [FF6666]Nahkampfwaffen-Boost[-] (installiert in Handschuhen). Erhöht den von Bögen und Armbrüsten verursachten Schaden.\n\n[DECEA3]Reparatur erfordert Reparaturset (verbessert).[-]
armorRogueGlovesImp,items,Clothes,,Rogue Gloves [8692FF]Improved[-],Schurkenhandschuhe [8692FF]„Verbessert“[-]
armorRogueGlovesImpDesc,items,Clothes,,Light Armor\nAn improved version of the Rogue Gloves. Arrows and bolts do not slip out of your hands at an inopportune moment. Increased reload speed of bows and crossbows. You can install a boost to increase the attack speed of melee weapons.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt by bows and crossbows.\n\n[DECEA3]Repair requires repair kit (improved).[-],"Leichte Rüstung\nEine verbesserte Version der Rogue-Handschuhe. Pfeile und Bolzen rutschen Ihnen nicht im ungünstigen Moment aus der Hand. Erhöhte Nachladegeschwindigkeit von Bögen und Armbrüsten. Sie können einen Boost installieren, um die Angriffsgeschwindigkeit von Nahkampfwaffen zu erhöhen.\n\nVollständiger Set-Bonus: Verfügbarer [FF6666]Nahkampfwaffen-Boost[-] (installiert in Handschuhen). Erhöht den von Bögen und Armbrüsten verursachten Schaden.\n\n[DECEA3]Reparatur erfordert Reparaturset (verbessert).[-]"
armorRogueBootsImp,items,Clothes,,Rogue Shoes [8692FF]Improved[-],Schurkenschuhe [8692FF]„Verbessert“[-]
armorRogueBootsImpDesc,items,Clothes,,Light Armor\nAn improved version of the Rogue's Boots. Almost ninja-like. Less noise and faster movement in stealth. Much easier to maintain balance during melee attacks.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt by bows and crossbows.\n\n[DECEA3]Repair requires repair kit (improved).[-],"Leichte Rüstung\nEine verbesserte Version der Schurkenstiefel. Fast wie ein Ninja. Weniger Lärm und schnellere Bewegung im Stealth-Modus. Es ist viel einfacher, bei Nahkampfangriffen das Gleichgewicht zu halten.\n\nVollständiger Set-Bonus: Verfügbarer [FF6666]Nahkampfwaffen-Boost[-] (installiert in Handschuhen). Erhöht den von Bögen und Armbrüsten verursachten Schaden.\n\n[DECEA3]Reparatur erfordert Reparaturset (verbessert).[-]"
buffRogueImpSetBonus,buffs,Buff,,[8692FF]Rogue[-],[8692FF]Schurke[-]
buffRogueImpSetBonusName,buffs,buff,,Armor Bonus,Rüstungsbonus
buffRogueImpSetBonusTooltip,buffs,buff,,You are affected by the improved Rogue armor bonus.,Sie sind vom verbesserten Rogue-Rüstungsbonus betroffen.
buffRogueImpSetBonusDesc,buffs,Buff,,"You have equipped a full set of [8692FF]«Rogue»[-] improved armor.\nBow and crossbow damage increased by [DECEA3]{cvar(.armorRogueImpFSBDisplay:0)}%[-]. When enhancing melee weapons: damage increased by [DECEA3]{cvar(.armorEnhancedDamageRogueImpFSBDisplay:0)}%[-], attack speed increased by [DECEA3]{cvar(.armorEnhancedSpeedRogueImpFSBDisplay:0)}%[-], stamina consumption reduced by [DECEA3]{cvar(.armorEnhancedStaminaRogueImpFSBDisplay:0)}%[-].","Du hast einen vollständigen Satz verbesserter [8692FF]„Rogue“[-]-Rüstung ausgerüstet.\nDer Schaden von Bögen und Armbrüsten wurde um [DECEA3]{cvar(.armorRogueImpFSBDisplay:0)} %[-] erhöht. Bei der Verbesserung von Nahkampfwaffen: Schaden um [DECEA3]{cvar(.armorEnhancedDamageRogueImpFSBDisplay:0)} %[-] erhöht, Angriffsgeschwindigkeit um [DECEA3]{cvar(.armorEnhancedSpeedRogueImpFSBDisplay:0)} %[-] erhöht, Ausdauerverbrauch um [DECEA3]{cvar(.armorEnhancedStaminaRogueImpFSBDisplay:0)} %[-] verringert."
armorEnforcerHelmetImp,items,Clothes,,Enforcer Sunglasses [8692FF]Improved[-],Enforcer-Sonnenbrille [8692FF]„Verbessert“[-]
armorEnforcerHelmetImpDesc,items,Clothes,,"Light Armor\nAn improved version of the Enforcer Sunglasses. With these glasses, you can always negotiate a good price for your product. This increases the selling price. You are now better trained in combat.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases the damage of the Gunslinger ability.\n\n[DECEA3]Repair requires repair kit (improved).[-]",Leichte Rüstung\nEine verbesserte Version der Enforcer-Sonnenbrille. Mit dieser Brille können Sie jederzeit einen guten Preis für Ihr Produkt aushandeln. Dadurch erhöht sich der Verkaufspreis. Du bist jetzt im Kampf besser trainiert.\n\nVollständiger Set-Bonus: Verfügbarer [FF6666]Nahkampfwaffen-Boost[-] (installiert in Handschuhen). Erhöht den Schaden der Gunslinger-Fähigkeit.\n\n[DECEA3]Reparatur erfordert Reparaturset (verbessert).[-]
armorEnforcerOutfitImp,items,Clothes,,Enforcer Outfit [8692FF]Improved[-],Enforcer-Outfit [8692FF]„Verbessert“[-]
armorEnforcerOutfitImpDesc,items,Clothes,,Light Armor\nAn improved version of the Enforcer Outfit. Stylish and lightweight materials mean you can withstand any impact. Increases resistance to critical injuries. Now you can carry more.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases the damage of the Gunslinger ability.\n\n[DECEA3]Repair requires repair kit (improved).[-],"Leichte Rüstung\nEine verbesserte Version des Enforcer-Outfits. Stilvolle und leichte Materialien sorgen dafür, dass Sie jedem Aufprall standhalten. Erhöht den Widerstand gegen kritische Verletzungen. Jetzt können Sie mehr tragen.\n\nVollständiger Set-Bonus: Verfügbarer [FF6666]Nahkampfwaffen-Boost[-] (installiert in Handschuhen). Erhöht den Schaden der Gunslinger-Fähigkeit.\n\n[DECEA3]Reparatur erfordert Reparaturset (verbessert).[-]"
armorEnforcerGlovesImp,items,Clothes,,Enforcer Gloves [8692FF]Improved[-],Enforcer-Handschuhe [8692FF]„Verbessert“[-]
armorEnforcerGlovesImpDesc,items,Clothes,,Light Armor\nAn improved version of the Enforcer Gloves. Gloves like these were worn back in the days of the Wild West. Increases reload speed for SMGs and pistols. You can install a boost to increase melee weapon attack speed.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt by the Gunslinger ability.\n\n[DECEA3]Repair requires repair kit (improved).[-],"Leichte Rüstung\nEine verbesserte Version der Enforcer-Handschuhe. Handschuhe wie diese wurden schon zu Zeiten des Wilden Westens getragen. Erhöht die Nachladegeschwindigkeit für SMGs und Pistolen. Sie können einen Boost installieren, um die Angriffsgeschwindigkeit von Nahkampfwaffen zu erhöhen.\n\nVollständiger Set-Bonus: Verfügbarer [FF6666]Nahkampfwaffen-Boost[-] (installiert in Handschuhen). Erhöht den durch die Gunslinger-Fähigkeit verursachten Schaden.\n\n[DECEA3]Reparatur erfordert Reparaturset (verbessert).[-]"
armorEnforcerBootsImp,items,Clothes,,Enforcer Shoes [8692FF]Improved[-],Enforcer-Schuhe [8692FF]„Verbessert“[-]
armorEnforcerBootsImpDesc,items,Clothes,,Light Armor\nAn improved version of the Enforcer Shoes.\nThese shoes will not soon become unusable. Increases stamina. It is much easier for you to maintain your balance during melee attacks.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases the damage of the Gunslinger ability.\n\n[DECEA3]Repair requires repair kit (improved).[-],"Leichte Rüstung\nEine verbesserte Version der Enforcer-Schuhe.\nDiese Schuhe werden nicht so schnell unbrauchbar werden. Erhöht die Ausdauer. Es ist für Sie viel einfacher, bei Nahkampfangriffen das Gleichgewicht zu halten.\n\nKompletter Set-Bonus: Verfügbarer [FF6666]Nahkampfwaffen-Boost[-] (installiert in Handschuhen). Erhöht den Schaden der Gunslinger-Fähigkeit.\n\n[DECEA3]Reparatur erfordert Reparaturset (verbessert).[-]"
buffEnforcerImpSetBonus,buffs,Buff,,[8692FF]Enforcer[-],[8692FF]Vollstrecker[-]
buffEnforcerImpSetBonusName,buffs,buff,,Armor Bonus,Rüstungsbonus
buffEnforcerImpSetBonusTooltip,buffs,buff,,You are affected by the improved Enforcer armor bonus.,Sie sind vom verbesserten Enforcer-Rüstungsbonus betroffen.
buffEnforcerImpSetBonusDesc,buffs,Buff,,"You have equipped a full set of [8692FF]«Enforcer»[-] improved Armor\nSMG and pistol damage increased by [DECEA3]{cvar(.armorEnforcerImpFSBDisplay:0)}%[-]. When enhancing melee weapons: damage increased by [DECEA3]{cvar(.armorEnhancedDamageEnforcerImpFSBDisplay:0)}%[-], attack speed increased by [DECEA3]{cvar(.armorEnhancedSpeedEnforcerImpFSBDisplay:0)}%[-], stamina consumption reduced by [DECEA3]{cvar(.armorEnhancedStaminaEnforcerImpFSBDisplay:0)}%[-].","Du hast einen vollständigen Satz [8692FF]„Enforcer“[-] mit verbesserter Rüstung ausgerüstet\nSMG- und Pistolenschaden um [DECEA3]{cvar(.armorEnforcerImpFSBDisplay:0)} %[-] erhöht. Bei der Verbesserung von Nahkampfwaffen: Schaden um [DECEA3]{cvar(.armorEnhancedDamageEnforcerImpFSBDisplay:0)} %[-] erhöht, Angriffsgeschwindigkeit um [DECEA3]{cvar(.armorEnhancedSpeedEnforcerImpFSBDisplay:0)} %[-] erhöht, Ausdauerverbrauch um reduziert [DECEA3]{cvar(.armorEnhancedStaminaEnforcerImpFSBDisplay:0)}%[-]."
armorRangerHelmetImp,items,Clothes,,Ranger Helmet [8692FF]Improved[-],Ranger-Helm [8692FF]„Verbessert“[-]
armorRangerHelmetImpDesc,items,Clothes,,"Medium Armor\nImproved version of the Ranger Hat. Rangers are fierce negotiators, especially when wearing a well-made hat. Increases the profitability of trade deals. Now you are better trained in combat.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by ranged weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-]","Mittlere Rüstung\nVerbesserte Version des Ranger-Huts. Ranger sind erbitterte Verhandlungsführer, besonders wenn sie einen gut gemachten Hut tragen. Erhöht die Rentabilität von Handelsgeschäften. Jetzt bist du besser im Kampf geschult.\n\n[DECEA3]Kompletter Set-Bonus:[-]\n[FF6666]Nahkampfwaffen-Boost[-] verfügbar (in Handschuhen installiert). Erhöht den von Fernkampfwaffen verursachten Schaden.\n\n[DECEA3]Reparatur erfordert Reparaturset (verbessert).[-]"
armorRangerOutfitImp,items,Clothes,,Ranger Outfit [8692FF]Improved[-],Ranger-Outfit [8692FF]„Verbessert“[-]
armorRangerOutfitImpDesc,items,Clothes,,"Medium Armor\nAn improved version of the Ranger Outfit. Nature has taught strength not only of the spirit, but also of the body. Increases the number of health units, as well as your load capacity.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by ranged weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-]","Mittlere Rüstung\nEine verbesserte Version des Ranger-Outfits. Die Natur hat nicht nur die Kraft des Geistes, sondern auch des Körpers gelehrt. Erhöht die Anzahl der Gesundheitseinheiten sowie Ihre Ladekapazität.\n\n[DECEA3]Kompletter Set-Bonus:[-]\n[FF6666]Nahkampfwaffen-Boost[-] verfügbar (installiert in Handschuhen). Erhöht den von Fernkampfwaffen verursachten Schaden.\n\n[DECEA3]Reparatur erfordert Reparaturset (verbessert).[-]"
armorRangerGlovesImp,items,Clothes,,Ranger Gloves [8692FF]Improved[-],Ranger-Handschuhe [8692FF]„Verbessert“[-]
armorRangerGlovesImpDesc,items,Clothes,,Medium Armor\nImproved version of the Ranger's Gloves. These comfortable gloves allow you to quickly handle any weapon. Increases weapon reload speed. You can install a boost to increase the attack speed of melee weapons.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by ranged weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],"Mittlere Rüstung\nVerbesserte Version der Handschuhe des Waldläufers. Mit diesen bequemen Handschuhen können Sie jede Waffe schnell handhaben. Erhöht die Nachladegeschwindigkeit der Waffe. Sie können einen Boost installieren, um die Angriffsgeschwindigkeit von Nahkampfwaffen zu erhöhen.\n\n[DECEA3]Kompletter Set-Bonus:[-]\n[FF6666]Nahkampfwaffen-Boost[-] verfügbar (installiert in Handschuhen). Erhöht den von Fernkampfwaffen verursachten Schaden.\n\n[DECEA3]Reparatur erfordert Reparaturset (verbessert).[-]"
armorRangerBootsImp,items,Clothes,,Ranger Boots [8692FF]Improved[-],Ranger-Stiefel [8692FF]„Verbessert“[-]
armorRangerBootsImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Ranger's Boots. Stamina is the key to successful survival in the wilderness. Increases your stamina. It is much easier for you to maintain your balance during melee attacks.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by ranged weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],"Mittlere Rüstung\nEine verbesserte Version der Waldläuferstiefel. Ausdauer ist der Schlüssel zum erfolgreichen Überleben in der Wildnis. Erhöht Ihre Ausdauer. Es ist für Sie viel einfacher, bei Nahkampfangriffen das Gleichgewicht zu halten.\n\n[DECEA3]Kompletter Set-Bonus:[-]\n[FF6666]Nahkampfwaffen-Boost[-] verfügbar (installiert in Handschuhen). Erhöht den von Fernkampfwaffen verursachten Schaden.\n\n[DECEA3]Reparatur erfordert Reparaturset (verbessert).[-]"
buffRangerImpSetBonus,buffs,Buff,,[8692FF]Ranger[-],[8692FF]Waldläufer[-]
buffRangerImpSetBonusName,buffs,buff,,Armor Bonus,Rüstungsbonus
buffRangerImpSetBonusTooltip,buffs,buff,,You are affected by the improved Ranger armor bonus.,Sie sind vom verbesserten Ranger-Rüstungsbonus betroffen.
buffRangerImpSetBonusDesc,buffs,Buff,,"You have equipped a full set of [8692FF]«Ranger»[-] improved Armor\nRanged weapon damage increased by [DECEA3]{cvar(.armorRangerImpFSBDisplay:0)}%[-]. When enhancing melee weapons: damage increased by [DECEA3]{cvar(.armorEnhancedDamageRangerImpFSBDisplay:0)}%[-], attack speed increased by [DECEA3]{cvar(.armorEnhancedSpeedRangerImpFSBDisplay:0)}%[-], stamina consumption reduced by [DECEA3]{cvar(.armorEnhancedStaminaRangerImpFSBDisplay:0)}%[-].","Du hast einen vollständigen Satz [8692FF]„Ranger“[-] verbesserter Rüstung ausgerüstet\nDer Schaden der Fernkampfwaffe wurde um [DECEA3]{cvar(.armorRangerImpFSBDisplay:0)} %[-] erhöht. Bei der Verbesserung von Nahkampfwaffen: Schaden um [DECEA3]{cvar(.armorEnhancedDamageRangerImpFSBDisplay:0)} %[-] erhöht, Angriffsgeschwindigkeit um [DECEA3]{cvar(.armorEnhancedSpeedRangerImpFSBDisplay:0)} %[-] erhöht, Ausdauerverbrauch um [DECEA3]{cvar(.armorEnhancedStaminaRangerImpFSBDisplay:0)} %[-] verringert."
armorCommandoHelmetImp,items,Clothes,,Commando Helmet [8692FF]Improved[-],Commando-Helm [8692FF]„Verbessert“[-]
armorCommandoHelmetImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Special Forces Helmet. Health regeneration rate has been increased. You are now better trained in combat.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by automatic weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],Mittlere Rüstung\nEine verbesserte Version des Special Forces-Helms. Die Gesundheitsregenerationsrate wurde erhöht. Du bist jetzt im Kampf besser trainiert.\n\n[DECEA3]Vollständiger Set-Bonus:[-]\n[FF6666]Nahkampfwaffen-Boost[-] verfügbar (in Handschuhen installiert). Erhöht den durch automatische Waffen verursachten Schaden.\n\n[DECEA3]Reparatur erfordert Reparaturset (verbessert).[-]
armorCommandoOutfitImp,items,Clothes,,Commando Outfit [8692FF]Improved[-],Kommando-Outfit [8692FF]„Verbessert“[-]
armorCommandoOutfitImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Special Forces uniform. True Special Forces can take any hit without flinching. Faster recovery from critical injuries.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by automatic weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],"Mittlere Rüstung\nEine verbesserte Version der Special Forces-Uniform. Echte Spezialeinheiten können jeden Treffer einstecken, ohne mit der Wimper zu zucken. Schnellere Erholung von kritischen Verletzungen.\n\n[DECEA3]Kompletter Set-Bonus:[-]\n[FF6666]Nahkampfwaffen-Boost[-] verfügbar (in Handschuhen eingebaut). Erhöht den durch automatische Waffen verursachten Schaden.\n\n[DECEA3]Reparatur erfordert Reparaturset (verbessert).[-]"
armorCommandoGlovesImp,items,Clothes,,Commando Gloves [8692FF]Improved[-],Kommandohandschuhe [8692FF]„Verbessert“[-]
armorCommandoGlovesImpDesc,items,Clothes,,"Medium Armor\nAn improved version of the Commando Gloves. A good marksman can easily disassemble and reassemble his weapon, and the reloading process has been perfected. You can install a boost to increase the attack speed of melee weapons.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by automatic weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-]","Mittlere Rüstung\nEine verbesserte Version der Commando-Handschuhe. Ein guter Schütze kann seine Waffe leicht zerlegen und wieder zusammenbauen, und der Nachladevorgang wurde perfektioniert. Sie können einen Boost installieren, um die Angriffsgeschwindigkeit von Nahkampfwaffen zu erhöhen.\n\n[DECEA3]Kompletter Set-Bonus:[-]\n[FF6666]Nahkampfwaffen-Boost[-] verfügbar (installiert in Handschuhen). Erhöht den durch automatische Waffen verursachten Schaden.\n\n[DECEA3]Reparatur erfordert Reparaturset (verbessert).[-]"
armorCommandoBootsImp,items,Clothes,,Commando Boots [8692FF]Improved[-],Kommandostiefel [8692FF]„Verbessert“[-]
armorCommandoBootsImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Special Forces boots. These boots are suitable for the most difficult obstacle course. Increases the safe fall height. It is much easier for you to maintain your balance during melee attacks.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by automatic weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],"Mittlere Rüstung\nEine verbesserte Version der Special Forces-Stiefel. Diese Stiefel eignen sich für den schwierigsten Hindernisparcours. Erhöht die sichere Fallhöhe. Es ist für Sie viel einfacher, bei Nahkampfangriffen das Gleichgewicht zu halten.\n\n[DECEA3]Kompletter Set-Bonus:[-]\n[FF6666]Nahkampfwaffen-Boost[-] verfügbar (installiert in Handschuhen). Erhöht den durch automatische Waffen verursachten Schaden.\n\n[DECEA3]Reparatur erfordert Reparaturset (verbessert).[-]"
buffCommandoImpSetBonus,buffs,Buff,,[8692FF]Commando[-],[8692FF]Kommando[-]
buffCommandoImpSetBonusName,buffs,buff,,Armor Bonus,Rüstungsbonus
buffCommandoImpSetBonusTooltip,buffs,buff,,You are affected by the improved Commando armor bonus.,Sie sind vom verbesserten Commando-Rüstungsbonus betroffen.
buffCommandoImpSetBonusDesc,buffs,Buff,,"You have equipped a full set of [8692FF]«Commando»[-] improved Armor\nAutomatic weapon damage increased by [DECEA3]{cvar(.armorCommandoImpFSBDisplay:0)}%[-]. When enhancing melee weapons: damage increased by [DECEA3]{cvar(.armorEnhancedDamageCommandoImpFSBDisplay:0)}%[-], attack speed increased by [DECEA3]{cvar(.armorEnhancedSpeedCommandoImpFSBDisplay:0)}%[-], stamina consumption reduced by [DECEA3]{cvar(.armorEnhancedStaminaCommandoImpFSBDisplay:0)}%[-].","Du hast einen vollständigen Satz [8692FF]„Commando“[-] verbesserter Rüstung ausgerüstet\nDer automatische Waffenschaden wurde um [DECEA3]{cvar(.armorCommandoImpFSBDisplay:0)} %[-] erhöht. Bei der Verbesserung von Nahkampfwaffen: Schaden erhöht um [DECEA3]{cvar(.armorEnhancedDamageCommandoImpFSBDisplay:0)} %[-], Angriffsgeschwindigkeit erhöht um [DECEA3]{cvar(.armorEnhancedSpeedCommandoImpFSBDisplay:0)} %[-], Ausdauerverbrauch verringert um [DECEA3]{cvar(.armorEnhancedStaminaCommandoImpFSBDisplay:0)}%[-]."
armorAssassinHelmetImp,items,Clothes,,Assassin Helmet [8692FF]Improved[-],Assassinen-Helm [8692FF]„Verbessert“[-]
