Key,Source,Context,Changes,English,Turkish
modEnhancedSpearDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to spear proficiency when wearing a full set of improved armor.,Geliştirilmiş zırh için geliştirme. Eldivenlere takılmıştır.\n\nTam bir iyileştirilmiş zırh seti giyildiğinde mızrak yeterliliğine bonus verir.
modEnhancedClub,item_modifiers,mod,,[FF6666]«Boost»[-] Clubs,[FF6666]«Takviye»[-] Sopalar
modEnhancedClubDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to club proficiency when wearing a full set of improved armor.,Geliştirilmiş zırh için geliştirme. Eldivenlere takılmıştır.\n\nTam bir iyileştirilmiş zırh seti giyildiğinde sopa yeterliliğine bir bonus verir.
modEnhancedSledgehammer,item_modifiers,mod,,[FF6666]«Boost»[-] Sledgehammers,[FF6666]«Hızlandırma»[-] Balyozlar
modEnhancedSledgehammerDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to sledgehammer proficiency when wearing a full set of improved armor.,Geliştirilmiş zırh için geliştirme. Eldivenlere takılmıştır.\n\nTam bir iyileştirilmiş zırh seti giyildiğinde balyoz ustalığına bonus verir.
modEnhancedKnuckles,item_modifiers,mod,,[FF6666]«Boost»[-] Knuckles,[FF6666]«Yükseltme»[-] Eklemler
modEnhancedKnucklesDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to knuckle proficiency when wearing a full set of improved armor.,Geliştirilmiş zırh için geliştirme. Eldivenlere takılmıştır.\n\nTam bir iyileştirilmiş zırh seti giyildiğinde parmak eklemi yeterliliğine bonus verir.
modEnhancedKnife,item_modifiers,mod,,[FF6666]«Boost»[-] Knives and Machetes,[FF6666]«Takviye»[-] Bıçaklar ve Palalar
modEnhancedKnifeDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGives a bonus to knife and machete proficiency when wearing a full set of improved armor.,Geliştirilmiş zırh için geliştirme. Eldivenlere takılmıştır.\n\nTam bir iyileştirilmiş zırh seti giyildiğinde bıçak ve pala ustalığına bonus verir.
modEnhancedStunBaton,item_modifiers,mod,,[FF6666]«Boost»[-] Stun Batons,[FF6666]«Takviye»[-] Sersemletme Copları
modEnhancedStunBatonDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to stun baton proficiency when wearing a full set of improved armor.,Geliştirilmiş zırh için geliştirme. Eldivenlere takılmıştır.\n\nTam bir iyileştirilmiş zırh seti giyildiğinde sersemletme sopası yeterliliğine bonus verir.
armorRogueHelmetImp,items,Clothes,,Rogue Hood [8692FF]Improved[-],Rogue Hood [8692FF]«Gelişmiş»[-]
armorRogueHelmetImpDesc,items,Clothes,,Light Armor\nAn improved version of the Rogue Hood. A true rogue always recognizes loot. You find more banknotes and dukes in loot. You are now better trained in combat.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt with bows and crossbows.\n\n[DECEA3]Repair requires repair kit (improved).[-],Hafif Zırh\nRogue Hood'un geliştirilmiş bir versiyonu. Gerçek bir haydut her zaman ganimetlerin farkına varır. Yağmada daha fazla banknot ve dük bulursunuz. Artık dövüş konusunda daha iyi eğitilmişsiniz.\n\nTam Set Bonusu: Mevcut [FF6666]Yakın Dövüş Silahı Takviyesi[-] (eldivenlere takılmıştır). Yaylar ve tatar yaylarıyla verilen hasarı artırır.\n\n[DECEA3]Onarım için tamir seti gerekir (geliştirilmiş).[-]
armorRogueOutfitImp,items,Clothes,,Rogue Outfit [8692FF]Improved[-],Rogue Kıyafeti [8692FF]«Geliştirilmiş»[-]
armorRogueOutfitImpDesc,items,Clothes,,Light Armor\nAn improved version of the Rogue's outfit. Heals wounds like a dog. Increases the speed of critical wound healing. You can now carry more.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt by bows and crossbows.\n\n[DECEA3]Repair requires repair kit (improved).[-],Hafif Zırh\nRogue'un kıyafetinin geliştirilmiş bir versiyonu. Yaraları köpek gibi iyileştirir. Kritik yara iyileşme hızını artırır. Artık daha fazlasını taşıyabilirsiniz.\n\nTam Set Bonusu: Mevcut [FF6666]Yakın Dövüş Silahı Takviyesi[-] (eldivenlere takılmıştır). Yaylar ve arbaletlerin verdiği hasarı artırır.\n\n[DECEA3]Onarım için tamir seti gerekir (geliştirilmiş).[-]
armorRogueGlovesImp,items,Clothes,,Rogue Gloves [8692FF]Improved[-],Hileli Eldivenler [8692FF]«Gelişmiş»[-]
armorRogueGlovesImpDesc,items,Clothes,,Light Armor\nAn improved version of the Rogue Gloves. Arrows and bolts do not slip out of your hands at an inopportune moment. Increased reload speed of bows and crossbows. You can install a boost to increase the attack speed of melee weapons.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt by bows and crossbows.\n\n[DECEA3]Repair requires repair kit (improved).[-],Hafif Zırh\nRogue Eldivenlerinin geliştirilmiş bir versiyonu. Oklar ve cıvatalar uygunsuz bir anda elinizden kaymaz. Yayların ve tatar yaylarının yeniden yükleme hızı artırıldı. Yakın dövüş silahlarının saldırı hızını artırmak için bir takviye yükleyebilirsiniz.\n\nTam Set Bonusu: Mevcut [FF6666]Yakın Dövüş Silahı Takviyesi[-] (eldivenlere takılmıştır). Yaylar ve arbaletlerin verdiği hasarı artırır.\n\n[DECEA3]Onarım için tamir seti gerekir (geliştirilmiş).[-]
armorRogueBootsImp,items,Clothes,,Rogue Shoes [8692FF]Improved[-],Rogue Ayakkabıları [8692FF]«Geliştirilmiş»[-]
armorRogueBootsImpDesc,items,Clothes,,Light Armor\nAn improved version of the Rogue's Boots. Almost ninja-like. Less noise and faster movement in stealth. Much easier to maintain balance during melee attacks.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt by bows and crossbows.\n\n[DECEA3]Repair requires repair kit (improved).[-],Hafif Zırh\nRogue's Boots'un geliştirilmiş bir versiyonu. Neredeyse ninjaya benziyor. Gizlilikte daha az gürültü ve daha hızlı hareket. Yakın dövüş saldırıları sırasında dengeyi korumak çok daha kolay.\n\nTam Set Bonusu: Mevcut [FF6666]Yakın Dövüş Silah Takviyesi[-] (eldivenlere takılı). Yaylar ve arbaletlerin verdiği hasarı artırır.\n\n[DECEA3]Onarım için tamir seti gerekir (geliştirilmiş).[-]
buffRogueImpSetBonus,buffs,Buff,,[8692FF]Rogue[-],[8692FF]Dolandırıcı[-]
buffRogueImpSetBonusName,buffs,buff,,Armor Bonus,Zırh Bonusu
buffRogueImpSetBonusTooltip,buffs,buff,,You are affected by the improved Rogue armor bonus.,Geliştirilmiş Rogue zırh bonusundan etkilenirsiniz.
buffRogueImpSetBonusDesc,buffs,Buff,,"You have equipped a full set of [8692FF]«Rogue»[-] improved armor.\nBow and crossbow damage increased by [DECEA3]{cvar(.armorRogueImpFSBDisplay:0)}%[-]. When enhancing melee weapons: damage increased by [DECEA3]{cvar(.armorEnhancedDamageRogueImpFSBDisplay:0)}%[-], attack speed increased by [DECEA3]{cvar(.armorEnhancedSpeedRogueImpFSBDisplay:0)}%[-], stamina consumption reduced by [DECEA3]{cvar(.armorEnhancedStaminaRogueImpFSBDisplay:0)}%[-].","Tam bir [8692FF]«Rogue»[-] geliştirilmiş zırh seti kuşandınız.\nYay ve arbalet hasarı [DECEA3]{cvar(.armorRogueImpFSBDisplay:0)}%[-] artırıldı. Yakın dövüş silahlarını geliştirirken: hasar [DECEA3]{cvar(.armorEnhancedDamageRogueImpFSBDisplay:0)}[-] artırıldı, saldırı hızı [DECEA3]{cvar(.armorEnhancedSpeedRogueImpFSBDisplay:0)}%[-] artırıldı, dayanıklılık tüketimi azaltıldı [DECEA3]{cvar(.armorEnhancedStaminaRogueImpFSBDisplay:0)}%[-]."
armorEnforcerHelmetImp,items,Clothes,,Enforcer Sunglasses [8692FF]Improved[-],Enforcer Güneş Gözlüğü [8692FF]«Geliştirilmiş»[-]
armorEnforcerHelmetImpDesc,items,Clothes,,"Light Armor\nAn improved version of the Enforcer Sunglasses. With these glasses, you can always negotiate a good price for your product. This increases the selling price. You are now better trained in combat.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases the damage of the Gunslinger ability.\n\n[DECEA3]Repair requires repair kit (improved).[-]",Hafif Zırh\nEnforcer Güneş Gözlüklerinin geliştirilmiş bir versiyonu. Bu gözlüklerle ürününüz için her zaman iyi bir fiyatta pazarlık yapabilirsiniz. Bu da satış fiyatını artırıyor. Artık dövüş konusunda daha iyi eğitilmişsiniz.\n\nTam Set Bonusu: Mevcut [FF6666]Yakın Dövüş Silahı Takviyesi[-] (eldivenlere takılmıştır). Silahşör yeteneğinin hasarını artırır.\n\n[DECEA3]Onarım için tamir seti gerekir (geliştirilmiş).[-]
armorEnforcerOutfitImp,items,Clothes,,Enforcer Outfit [8692FF]Improved[-],İnfazcı Kıyafeti [8692FF]«Geliştirilmiş»[-]
armorEnforcerOutfitImpDesc,items,Clothes,,Light Armor\nAn improved version of the Enforcer Outfit. Stylish and lightweight materials mean you can withstand any impact. Increases resistance to critical injuries. Now you can carry more.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases the damage of the Gunslinger ability.\n\n[DECEA3]Repair requires repair kit (improved).[-],Hafif Zırh\nEnforcer Kıyafetinin geliştirilmiş bir versiyonu. Şık ve hafif malzemeler her türlü darbeye dayanabileceğiniz anlamına gelir. Kritik yaralanmalara karşı direnci arttırır. Artık daha fazlasını taşıyabilirsiniz.\n\nTam Set Bonusu: Mevcut [FF6666]Yakın Dövüş Silah Takviyesi[-] (eldivenlere takılmıştır). Silahşör yeteneğinin hasarını artırır.\n\n[DECEA3]Onarım için tamir seti gerekir (geliştirilmiş).[-]
armorEnforcerGlovesImp,items,Clothes,,Enforcer Gloves [8692FF]Improved[-],Uygulayıcı Eldivenleri [8692FF]«Gelişmiş»[-]
armorEnforcerGlovesImpDesc,items,Clothes,,Light Armor\nAn improved version of the Enforcer Gloves. Gloves like these were worn back in the days of the Wild West. Increases reload speed for SMGs and pistols. You can install a boost to increase melee weapon attack speed.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt by the Gunslinger ability.\n\n[DECEA3]Repair requires repair kit (improved).[-],Hafif Zırh\nUygulayıcı Eldivenlerinin geliştirilmiş bir versiyonu. Bunun gibi eldivenler Vahşi Batı günlerinde giyilirdi. SMG'ler ve tabancalar için yeniden yükleme hızını artırır. Yakın dövüş silahının saldırı hızını artırmak için bir takviye yükleyebilirsiniz.\n\nTam Set Bonusu: Mevcut [FF6666]Yakın Dövüş Silahı Desteği[-] (eldivenlere takılı). Silahşör yeteneğinin verdiği hasarı artırır.\n\n[DECEA3]Onarım için tamir seti gerekir (geliştirilmiş).[-]
armorEnforcerBootsImp,items,Clothes,,Enforcer Shoes [8692FF]Improved[-],Uygulayıcı Ayakkabıları [8692FF]«Geliştirilmiş»[-]
armorEnforcerBootsImpDesc,items,Clothes,,Light Armor\nAn improved version of the Enforcer Shoes.\nThese shoes will not soon become unusable. Increases stamina. It is much easier for you to maintain your balance during melee attacks.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases the damage of the Gunslinger ability.\n\n[DECEA3]Repair requires repair kit (improved).[-],Hafif Zırh\nEnforcer Ayakkabılarının geliştirilmiş bir versiyonu.\nBu ayakkabılar yakın zamanda kullanılamaz hale gelmeyecek. Dayanıklılığı arttırır. Yakın dövüş saldırıları sırasında dengenizi korumanız çok daha kolaydır.\n\nTam Set Bonusu: Mevcut [FF6666]Yakın Dövüş Silahı Takviyesi[-] (eldivenlere takılmıştır). Silahşör yeteneğinin hasarını artırır.\n\n[DECEA3]Onarım için tamir seti gerekir (geliştirilmiş).[-]
buffEnforcerImpSetBonus,buffs,Buff,,[8692FF]Enforcer[-],[8692FF]Uygulayıcı[-]
buffEnforcerImpSetBonusName,buffs,buff,,Armor Bonus,Zırh Bonusu
buffEnforcerImpSetBonusTooltip,buffs,buff,,You are affected by the improved Enforcer armor bonus.,Geliştirilmiş Enforcer zırh bonusundan etkilenirsiniz.
buffEnforcerImpSetBonusDesc,buffs,Buff,,"You have equipped a full set of [8692FF]«Enforcer»[-] improved Armor\nSMG and pistol damage increased by [DECEA3]{cvar(.armorEnforcerImpFSBDisplay:0)}%[-]. When enhancing melee weapons: damage increased by [DECEA3]{cvar(.armorEnhancedDamageEnforcerImpFSBDisplay:0)}%[-], attack speed increased by [DECEA3]{cvar(.armorEnhancedSpeedEnforcerImpFSBDisplay:0)}%[-], stamina consumption reduced by [DECEA3]{cvar(.armorEnhancedStaminaEnforcerImpFSBDisplay:0)}%[-].","Tam bir [8692FF]«Enforcer»[-] iyileştirilmiş Zırh\nSMG seti donattınız ve tabanca hasarı [DECEA3]{cvar(.armorEnforcerImpFSBDisplay:0)}%[-] artırıldı. Yakın dövüş silahlarını geliştirirken: hasar [DECEA3]{cvar(.armorEnhancedDamageEnforcerImpFSBDisplay:0)}[-] artırıldı, saldırı hızı [DECEA3]{cvar(.armorEnhancedSpeedEnforcerImpFSBDisplay:0)}%[-] artırıldı, dayanıklılık tüketimi azaltıldı [DECEA3]{cvar(.armorEnhancedStaminaEnforcerImpFSBDisplay:0)}%[-]."
armorRangerHelmetImp,items,Clothes,,Ranger Helmet [8692FF]Improved[-],Ranger Kaskı [8692FF]«Geliştirilmiş»[-]
armorRangerHelmetImpDesc,items,Clothes,,"Medium Armor\nImproved version of the Ranger Hat. Rangers are fierce negotiators, especially when wearing a well-made hat. Increases the profitability of trade deals. Now you are better trained in combat.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by ranged weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-]","Orta Zırh\nRanger Şapkasının geliştirilmiş versiyonu. Korucular, özellikle iyi yapılmış bir şapka taktıklarında, amansız müzakerecilerdir. Ticari anlaşmaların karlılığını artırır. Artık dövüş konusunda daha iyi eğitilmişsiniz.\n\n[DECEA3]Tam Set Bonusu:[-]\n[FF6666]Yakın Dövüş Silahı Takviyesi[-] mevcut (eldivenlere takılı). Menzilli silahların verdiği hasarı artırır.\n\n[DECEA3]Onarım için tamir seti gerekir (geliştirilmiş).[-]"
armorRangerOutfitImp,items,Clothes,,Ranger Outfit [8692FF]Improved[-],Korucu Kıyafeti [8692FF]«Geliştirilmiş»[-]
armorRangerOutfitImpDesc,items,Clothes,,"Medium Armor\nAn improved version of the Ranger Outfit. Nature has taught strength not only of the spirit, but also of the body. Increases the number of health units, as well as your load capacity.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by ranged weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-]",Orta Zırh\nRanger Kıyafetinin geliştirilmiş bir versiyonu. Doğa sadece ruhun değil bedenin de gücünü öğretmiştir. Sağlık birimlerinin sayısını ve yük kapasitenizi artırır.\n\n[DECEA3]Tam Set Bonusu:[-]\n[FF6666]Yakın Dövüş Silahı Takviyesi[-] mevcuttur (eldivenlere takılmıştır). Menzilli silahların verdiği hasarı artırır.\n\n[DECEA3]Onarım için tamir seti gerekir (geliştirilmiş).[-]
armorRangerGlovesImp,items,Clothes,,Ranger Gloves [8692FF]Improved[-],Korucu Eldivenleri [8692FF]«Geliştirilmiş»[-]
armorRangerGlovesImpDesc,items,Clothes,,Medium Armor\nImproved version of the Ranger's Gloves. These comfortable gloves allow you to quickly handle any weapon. Increases weapon reload speed. You can install a boost to increase the attack speed of melee weapons.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by ranged weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],Orta Zırh\nRanger Eldivenlerinin geliştirilmiş versiyonu. Bu konforlu eldivenler her türlü silahı hızlı bir şekilde kullanmanızı sağlar. Silahın yeniden yükleme hızını artırır. Yakın dövüş silahlarının saldırı hızını artırmak için bir takviye yükleyebilirsiniz.\n\n[DECEA3]Tam Set Bonusu:[-]\n[FF6666]Yakın Dövüş Silahı Takviyesi[-] mevcuttur (eldivenlere takılmıştır). Menzilli silahların verdiği hasarı artırır.\n\n[DECEA3]Onarım için tamir seti gerekir (geliştirilmiş).[-]
armorRangerBootsImp,items,Clothes,,Ranger Boots [8692FF]Improved[-],Ranger Botları [8692FF]«Geliştirilmiş»[-]
armorRangerBootsImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Ranger's Boots. Stamina is the key to successful survival in the wilderness. Increases your stamina. It is much easier for you to maintain your balance during melee attacks.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by ranged weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],"Orta Zırh\nRanger Botlarının geliştirilmiş bir versiyonu. Dayanıklılık, vahşi doğada başarılı bir şekilde hayatta kalmanın anahtarıdır. Dayanıklılığınızı artırır. Yakın dövüş saldırıları sırasında dengenizi korumanız çok daha kolaydır.\n\n[DECEA3]Tam Set Bonusu:[-]\n[FF6666]Yakın Dövüş Silahı Takviyesi[-] mevcuttur (eldivenlere takılmıştır). Menzilli silahların verdiği hasarı artırır.\n\n[DECEA3]Onarım için tamir seti gerekir (geliştirilmiş).[-]"
buffRangerImpSetBonus,buffs,Buff,,[8692FF]Ranger[-],[8692FF]Korucu[-]
buffRangerImpSetBonusName,buffs,buff,,Armor Bonus,Zırh Bonusu
buffRangerImpSetBonusTooltip,buffs,buff,,You are affected by the improved Ranger armor bonus.,Geliştirilmiş Ranger zırh bonusundan etkilenirsiniz.
buffRangerImpSetBonusDesc,buffs,Buff,,"You have equipped a full set of [8692FF]«Ranger»[-] improved Armor\nRanged weapon damage increased by [DECEA3]{cvar(.armorRangerImpFSBDisplay:0)}%[-]. When enhancing melee weapons: damage increased by [DECEA3]{cvar(.armorEnhancedDamageRangerImpFSBDisplay:0)}%[-], attack speed increased by [DECEA3]{cvar(.armorEnhancedSpeedRangerImpFSBDisplay:0)}%[-], stamina consumption reduced by [DECEA3]{cvar(.armorEnhancedStaminaRangerImpFSBDisplay:0)}%[-].","Tam bir [8692FF]«Ranger»[-] iyileştirilmiş Zırh seti donattınız\nMenzilli silah hasarı [DECEA3]{cvar(.armorRangerImpFSBDisplay:0)}%[-] artırıldı. Yakın dövüş silahlarını geliştirirken: hasar [DECEA3]{cvar(.armorEnhancedDamageRangerImpFSBDisplay:0)}%[-] artırıldı, saldırı hızı [DECEA3]{cvar(.armorEnhancedSpeedRangerImpFSBDisplay:0)}%[-] artırıldı, dayanıklılık tüketimi azaltıldı [DECEA3]{cvar(.armorEnhancedStaminaRangerImpFSBDisplay:0)}%[-]."
armorCommandoHelmetImp,items,Clothes,,Commando Helmet [8692FF]Improved[-],Komando Miğferi [8692FF]«Geliştirilmiş»[-]
armorCommandoHelmetImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Special Forces Helmet. Health regeneration rate has been increased. You are now better trained in combat.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by automatic weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],Orta Zırh\nÖzel Kuvvetler Miğferinin geliştirilmiş versiyonu. Sağlık yenilenme oranı arttırıldı. Artık dövüş konusunda daha iyi eğitilmişsiniz.\n\n[DECEA3]Tam Set Bonusu:[-]\n[FF6666]Yakın Dövüş Silahı Takviyesi[-] mevcut (eldivenlere takılı). Otomatik silahların verdiği hasarı artırır.\n\n[DECEA3]Onarım için tamir seti gerekir (geliştirilmiş).[-]
armorCommandoOutfitImp,items,Clothes,,Commando Outfit [8692FF]Improved[-],Komando Kıyafeti [8692FF]«Geliştirilmiş»[-]
armorCommandoOutfitImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Special Forces uniform. True Special Forces can take any hit without flinching. Faster recovery from critical injuries.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by automatic weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],Orta Zırh\nÖzel Kuvvetler üniformasının geliştirilmiş bir versiyonu. Gerçek Özel Kuvvetler herhangi bir darbeyi çekinmeden karşılayabilir. Kritik yaralanmalardan daha hızlı iyileşme.\n\n[DECEA3]Tam Set Bonusu:[-]\n[FF6666]Yakın Dövüş Silahı Takviyesi[-] mevcuttur (eldivenlere takılmıştır). Otomatik silahların verdiği hasarı artırır.\n\n[DECEA3]Onarım için tamir seti gerekir (geliştirilmiş).[-]
armorCommandoGlovesImp,items,Clothes,,Commando Gloves [8692FF]Improved[-],Komando Eldivenleri [8692FF]«Geliştirilmiş»[-]
armorCommandoGlovesImpDesc,items,Clothes,,"Medium Armor\nAn improved version of the Commando Gloves. A good marksman can easily disassemble and reassemble his weapon, and the reloading process has been perfected. You can install a boost to increase the attack speed of melee weapons.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by automatic weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-]",Orta Zırh\nKomando Eldivenlerinin geliştirilmiş bir versiyonu. İyi bir nişancı silahını kolayca söküp takabilir ve yeniden yükleme işlemi mükemmelleştirilmiştir. Yakın dövüş silahlarının saldırı hızını artırmak için bir takviye yükleyebilirsiniz.\n\n[DECEA3]Tam Set Bonusu:[-]\n[FF6666]Yakın Dövüş Silahı Takviyesi[-] mevcuttur (eldivenlere takılmıştır). Otomatik silahların verdiği hasarı artırır.\n\n[DECEA3]Onarım için tamir seti gerekir (geliştirilmiş).[-]
armorCommandoBootsImp,items,Clothes,,Commando Boots [8692FF]Improved[-],Komando Çizmeleri [8692FF]«Geliştirilmiş»[-]
armorCommandoBootsImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Special Forces boots. These boots are suitable for the most difficult obstacle course. Increases the safe fall height. It is much easier for you to maintain your balance during melee attacks.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by automatic weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],Orta Zırh\nÖzel Kuvvet botlarının geliştirilmiş bir versiyonu. Bu botlar en zorlu engelli parkurlara uygundur. Güvenli düşme yüksekliğini artırır. Yakın dövüş saldırıları sırasında dengenizi korumanız çok daha kolaydır.\n\n[DECEA3]Tam Set Bonusu:[-]\n[FF6666]Yakın Dövüş Silahı Takviyesi[-] mevcuttur (eldivenlere takılmıştır). Otomatik silahların verdiği hasarı artırır.\n\n[DECEA3]Onarım için tamir seti gerekir (geliştirilmiş).[-]
buffCommandoImpSetBonus,buffs,Buff,,[8692FF]Commando[-],[8692FF]Komando[-]
buffCommandoImpSetBonusName,buffs,buff,,Armor Bonus,Zırh Bonusu
buffCommandoImpSetBonusTooltip,buffs,buff,,You are affected by the improved Commando armor bonus.,Geliştirilmiş Komando zırhı bonusundan etkileniyorsunuz.
buffCommandoImpSetBonusDesc,buffs,Buff,,"You have equipped a full set of [8692FF]«Commando»[-] improved Armor\nAutomatic weapon damage increased by [DECEA3]{cvar(.armorCommandoImpFSBDisplay:0)}%[-]. When enhancing melee weapons: damage increased by [DECEA3]{cvar(.armorEnhancedDamageCommandoImpFSBDisplay:0)}%[-], attack speed increased by [DECEA3]{cvar(.armorEnhancedSpeedCommandoImpFSBDisplay:0)}%[-], stamina consumption reduced by [DECEA3]{cvar(.armorEnhancedStaminaCommandoImpFSBDisplay:0)}%[-].","Tam bir [8692FF]«Commando»[-] geliştirilmiş Zırh seti donattınız\nOtomatik silah hasarı [DECEA3]{cvar(.armorCommandoImpFSBDisplay:0)}%[-] artırıldı. Yakın dövüş silahlarını geliştirirken: hasar [DECEA3]{cvar(.armorEnhancedDamageCommandoImpFSBDisplay:0)}[-] artırıldı, saldırı hızı [DECEA3]{cvar(.armorEnhancedSpeedCommandoImpFSBDisplay:0)}%[-] artırıldı, dayanıklılık tüketimi azaltıldı [DECEA3]{cvar(.armorEnhancedStaminaCommandoImpFSBDisplay:0)}%[-]."
armorAssassinHelmetImp,items,Clothes,,Assassin Helmet [8692FF]Improved[-],Suikastçı Kaskı [8692FF]«Geliştirilmiş»[-]
