Key,Source,Context,Changes,English,Tchinese
modEnhancedClubDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to club proficiency when wearing a full set of improved armor.,Enhancement for improved armor.安裝在手套中。 \n\n穿著全套改良的盔甲時，可以提高俱樂部的熟練度。
modEnhancedSledgehammer,item_modifiers,mod,,[FF6666]«Boost»[-] Sledgehammers,[FF6666]《提升》[-] 大錘
modEnhancedSledgehammerDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to sledgehammer proficiency when wearing a full set of improved armor.,Enhancement for improved armor.安裝在手套中。 \n\n穿著全套改良的盔甲時，可提高大槌熟練度。
modEnhancedKnuckles,item_modifiers,mod,,[FF6666]«Boost»[-] Knuckles,[FF6666]《提升》[-] 指關節
modEnhancedKnucklesDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to knuckle proficiency when wearing a full set of improved armor.,Enhancement for improved armor.安裝在手套中。 \n\n穿著全套改良的盔甲時，可提高指關節熟練度。
modEnhancedKnife,item_modifiers,mod,,[FF6666]«Boost»[-] Knives and Machetes,[FF6666]《增強》[-] 刀與砍刀
modEnhancedKnifeDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGives a bonus to knife and machete proficiency when wearing a full set of improved armor.,Enhancement for improved armor.安裝在手套中。 \n\n穿著全套改良的盔甲時，可以提高刀具和砍刀的熟練程度。
modEnhancedStunBaton,item_modifiers,mod,,[FF6666]«Boost»[-] Stun Batons,[FF6666]《增強》[-] 電棍
modEnhancedStunBatonDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to stun baton proficiency when wearing a full set of improved armor.,增強裝甲以改善裝甲。安裝在手套中。 \n\n穿著全套改良的盔甲時，可獲得電擊棒熟練度加成。
armorRogueHelmetImp,items,Clothes,,Rogue Hood [8692FF]Improved[-],盜賊兜帽 [8692FF]《改良》[-]
armorRogueHelmetImpDesc,items,Clothes,,Light Armor\nAn improved version of the Rogue Hood. A true rogue always recognizes loot. You find more banknotes and dukes in loot. You are now better trained in combat.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt with bows and crossbows.\n\n[DECEA3]Repair requires repair kit (improved).[-],輕甲\n盜賊兜帽的改良版。真正的盜賊總是能認出戰利品。你會在戰利品中找到更多的鈔票和公爵。您現在在戰鬥中得到了更好的訓練。 \n\n全套獎勵：可用[FF6666]近戰武器增強[-]（安裝在手套中）。增加弓箭和十字弓造成的傷害。 \n\n[DECEA3]修復需要修復套件（改進）。 [-]
armorRogueOutfitImp,items,Clothes,,Rogue Outfit [8692FF]Improved[-],盜賊服裝 [8692FF]《改良》[-]
armorRogueOutfitImpDesc,items,Clothes,,Light Armor\nAn improved version of the Rogue's outfit. Heals wounds like a dog. Increases the speed of critical wound healing. You can now carry more.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt by bows and crossbows.\n\n[DECEA3]Repair requires repair kit (improved).[-],輕甲\n盜賊服裝的改良版。像狗一樣治癒傷口。提高關鍵傷口的癒合速度。您現在可以攜帶更多。 \n\n全套獎勵：可用[FF6666]近戰武器增強[-]（安裝在手套中）。增加弓和弩造成的傷害。 \n\n[DECEA3]修復需要修復套件（改進）。 [-]
armorRogueGlovesImp,items,Clothes,,Rogue Gloves [8692FF]Improved[-],盜賊手套 [8692FF]《改良》[-]
armorRogueGlovesImpDesc,items,Clothes,,Light Armor\nAn improved version of the Rogue Gloves. Arrows and bolts do not slip out of your hands at an inopportune moment. Increased reload speed of bows and crossbows. You can install a boost to increase the attack speed of melee weapons.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt by bows and crossbows.\n\n[DECEA3]Repair requires repair kit (improved).[-],輕甲\n盜賊手套的改良版。箭和螺栓不會在不合時宜的時刻從你手中滑落。提高弓和十字弓的裝填速度。您可以安裝助推器來提高近戰武器的攻擊速度。 \n\n全套獎勵：可用[FF6666]近戰武器助推器[-]（安裝在手套中）。增加弓和弩造成的傷害。 \n\n[DECEA3]修復需要修復套件（改進）。 [-]
armorRogueBootsImp,items,Clothes,,Rogue Shoes [8692FF]Improved[-],盜賊鞋 [8692FF]《改進》[-]
armorRogueBootsImpDesc,items,Clothes,,Light Armor\nAn improved version of the Rogue's Boots. Almost ninja-like. Less noise and faster movement in stealth. Much easier to maintain balance during melee attacks.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt by bows and crossbows.\n\n[DECEA3]Repair requires repair kit (improved).[-],輕甲\n盜賊靴子的改良版。幾乎像忍者。隱身時噪音更小，移動速度更快。在近戰攻擊中更容易保持平衡。 \n\n全套獎勵：可用[FF6666]近戰武器增強[-]（安裝在手套中）。增加弓和弩造成的傷害。 \n\n[DECEA3]修復需要修復套件（改進）。 [-]
buffRogueImpSetBonus,buffs,Buff,,[8692FF]Rogue[-],[8692FF]盜賊[-]
buffRogueImpSetBonusName,buffs,buff,,Armor Bonus,護甲加成
buffRogueImpSetBonusTooltip,buffs,buff,,You are affected by the improved Rogue armor bonus.,你受到改進的盜賊護甲加成的影響。
buffRogueImpSetBonusDesc,buffs,Buff,,"You have equipped a full set of [8692FF]«Rogue»[-] improved armor.\nBow and crossbow damage increased by [DECEA3]{cvar(.armorRogueImpFSBDisplay:0)}%[-]. When enhancing melee weapons: damage increased by [DECEA3]{cvar(.armorEnhancedDamageRogueImpFSBDisplay:0)}%[-], attack speed increased by [DECEA3]{cvar(.armorEnhancedSpeedRogueImpFSBDisplay:0)}%[-], stamina consumption reduced by [DECEA3]{cvar(.armorEnhancedStaminaRogueImpFSBDisplay:0)}%[-].",您已裝備了一整套 [8692FF]《盜賊》[-] 改良護甲。 \n弓箭和十字弓傷害增加 [DECEA3]{cvar(.armorRogueImpFSBDisplay:0)}%[-]。強化近戰武器時：傷害增加 [DECEA3]{cvar(.armorEnhancedDamageRogueImpFSBDisplay:0)}%[-]，攻擊速度增加[DECEA3]{cvar(.armorEnhancedSpeedRogueImpFSBDisplay:0)}%[-]，體力消耗減少[DECEA3]{cvar(.armorEnhancedStaminaRogueImpFSBDisplay:0)}%[-].
armorEnforcerHelmetImp,items,Clothes,,Enforcer Sunglasses [8692FF]Improved[-],執法者太陽眼鏡 [8692FF]《改進》[-]
armorEnforcerHelmetImpDesc,items,Clothes,,"Light Armor\nAn improved version of the Enforcer Sunglasses. With these glasses, you can always negotiate a good price for your product. This increases the selling price. You are now better trained in combat.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases the damage of the Gunslinger ability.\n\n[DECEA3]Repair requires repair kit (improved).[-]",輕甲\n執法者太陽眼鏡的改良版。有了這些眼鏡，您始終可以為您的產品討價還價。這增加了銷售價格。您現在在戰鬥中得到了更好的訓練。 \n\n全套獎勵：可用[FF6666]近戰武器增強[-]（安裝在手套中）。增加槍手能力的傷害。 \n\n[DECEA3]修復需要修復套件（改進）。 [-]
armorEnforcerOutfitImp,items,Clothes,,Enforcer Outfit [8692FF]Improved[-],執法者服裝 [8692FF]《改進》[-]
armorEnforcerOutfitImpDesc,items,Clothes,,Light Armor\nAn improved version of the Enforcer Outfit. Stylish and lightweight materials mean you can withstand any impact. Increases resistance to critical injuries. Now you can carry more.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases the damage of the Gunslinger ability.\n\n[DECEA3]Repair requires repair kit (improved).[-],輕甲\n執法者服裝的改良版。時尚輕質的材質意味著您可以承受任何衝擊。提高對嚴重傷害的抵抗力。現在您可以攜帶更多。 \n\n全套獎勵：可用[FF6666]近戰武器增強[-]（安裝在手套中）。增加槍手能力的傷害。 \n\n[DECEA3]修復需要修復套件（改進）。 [-]
armorEnforcerGlovesImp,items,Clothes,,Enforcer Gloves [8692FF]Improved[-],執法者手套 [8692FF]《改進》[-]
armorEnforcerGlovesImpDesc,items,Clothes,,Light Armor\nAn improved version of the Enforcer Gloves. Gloves like these were worn back in the days of the Wild West. Increases reload speed for SMGs and pistols. You can install a boost to increase melee weapon attack speed.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt by the Gunslinger ability.\n\n[DECEA3]Repair requires repair kit (improved).[-],輕甲\n執法者手套的改良版。像這樣的手套在狂野西部時代就被戴過。提高衝鋒槍和手槍的裝填速度。您可以安裝助推器來提高近戰武器的攻擊速度。 \n\n全套獎勵：可用[FF6666]近戰武器助推器[-]（安裝在手套中）。增加槍手能力造成的傷害。 \n\n[DECEA3]修復需要修復套件（改進）。 [-]
armorEnforcerBootsImp,items,Clothes,,Enforcer Shoes [8692FF]Improved[-],執法者鞋 [8692FF]《改進》[-]
armorEnforcerBootsImpDesc,items,Clothes,,Light Armor\nAn improved version of the Enforcer Shoes.\nThese shoes will not soon become unusable. Increases stamina. It is much easier for you to maintain your balance during melee attacks.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases the damage of the Gunslinger ability.\n\n[DECEA3]Repair requires repair kit (improved).[-],輕甲\n執法者鞋子的改良版。 \n這些鞋子不會很快變得無法使用。增加耐力。在近戰攻擊中更容易保持平衡。 \n\n全套獎勵：可用[FF6666]近戰武器增強[-]（安裝在手套中）。增加槍手能力的傷害。 \n\n[DECEA3]修復需要修復套件（改進）。 [-]
buffEnforcerImpSetBonus,buffs,Buff,,[8692FF]Enforcer[-],[8692FF]執法者[-]
buffEnforcerImpSetBonusName,buffs,buff,,Armor Bonus,護甲加成
buffEnforcerImpSetBonusTooltip,buffs,buff,,You are affected by the improved Enforcer armor bonus.,你受到改進的執法者護甲加值的影響。
buffEnforcerImpSetBonusDesc,buffs,Buff,,"You have equipped a full set of [8692FF]«Enforcer»[-] improved Armor\nSMG and pistol damage increased by [DECEA3]{cvar(.armorEnforcerImpFSBDisplay:0)}%[-]. When enhancing melee weapons: damage increased by [DECEA3]{cvar(.armorEnhancedDamageEnforcerImpFSBDisplay:0)}%[-], attack speed increased by [DECEA3]{cvar(.armorEnhancedSpeedEnforcerImpFSBDisplay:0)}%[-], stamina consumption reduced by [DECEA3]{cvar(.armorEnhancedStaminaEnforcerImpFSBDisplay:0)}%[-].",您裝備了全套 [8692FF]«Enforcer»[-] 改進的護甲\nSMG 和手槍傷害增加了 [DECEA3]{cvar(.armorEnforcerImpFSBDisplay:0)}%[-]。強化近戰武器時：傷害增加 [DECEA3]{cvar(.armorEnhancedDamageEnforcerImpFSBDisplay:0)}%[-]，攻擊速度增加[DECEA3]{cvar(.armorEnhancedSpeedEnforcerImpFSBDisplay:0)}%[-]，體力消耗減少[DECEA3]{cvar(.armorEnhancedStaminaEnforcerImpFSBDisplay:0)}%[-]。
armorRangerHelmetImp,items,Clothes,,Ranger Helmet [8692FF]Improved[-],遊騎兵頭盔 [8692FF]《改良》[-]
armorRangerHelmetImpDesc,items,Clothes,,"Medium Armor\nImproved version of the Ranger Hat. Rangers are fierce negotiators, especially when wearing a well-made hat. Increases the profitability of trade deals. Now you are better trained in combat.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by ranged weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-]",中型護甲\n遊騎兵帽的改良版。護林員是兇猛的談判者，尤其是戴著做工精良的帽子時。提高貿易交易的獲利能力。現在你在戰鬥中得到了更好的訓練。 \n\n[DECEA3]全套獎勵：[-]\n[FF6666]近戰武器增強[-]可用（安裝在手套中）。增加遠程武器造成的傷害。 \n\n[DECEA3]修理需要修理套件（改良）。 [-]
armorRangerOutfitImp,items,Clothes,,Ranger Outfit [8692FF]Improved[-],遊俠服裝 [8692FF]《改良》[-]
armorRangerOutfitImpDesc,items,Clothes,,"Medium Armor\nAn improved version of the Ranger Outfit. Nature has taught strength not only of the spirit, but also of the body. Increases the number of health units, as well as your load capacity.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by ranged weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-]",中型裝甲\n遊騎兵服裝的改良版。大自然不僅教會了精神的力量，也教會了身體的力量。增加生命值單位的數量以及你的負載能力。 \n\n[DECEA3]全套獎勵：[-]\n[FF6666]近戰武器增強[-]可用（安裝在手套中）。增加遠程武器造成的傷害。 \n\n[DECEA3]修理需要修理套件（改良）。 [-]
armorRangerGlovesImp,items,Clothes,,Ranger Gloves [8692FF]Improved[-],遊騎兵手套 [8692FF]《改良》[-]
armorRangerGlovesImpDesc,items,Clothes,,Medium Armor\nImproved version of the Ranger's Gloves. These comfortable gloves allow you to quickly handle any weapon. Increases weapon reload speed. You can install a boost to increase the attack speed of melee weapons.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by ranged weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],中型護甲\n遊騎兵手套的改良版。這些舒適的手套讓您可以快速操作任何武器。提高武器裝填速度。您可以安裝助推器來提高近戰武器的攻擊速度。 \n\n[DECEA3]全套獎勵：[-]\n[FF6666]近戰武器助推器[-]可用（安裝在手套中）。增加遠程武器造成的傷害。 \n\n[DECEA3]修理需要修理套件（改良）。 [-]
armorRangerBootsImp,items,Clothes,,Ranger Boots [8692FF]Improved[-],遊騎兵靴子 [8692FF]《改進》[-]
armorRangerBootsImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Ranger's Boots. Stamina is the key to successful survival in the wilderness. Increases your stamina. It is much easier for you to maintain your balance during melee attacks.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by ranged weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],中型護甲\n遊騎兵靴子的改良版本。耐力是荒野中成功生存的關鍵。增加你的耐力。在近戰攻擊中你更容易保持平衡。 \n\n[DECEA3]全套獎勵：[-]\n[FF6666]近戰武器增強[-]可用（安裝在手套中）。增加遠程武器造成的傷害。 \n\n[DECEA3]修理需要修理套件（改良）。 [-]
buffRangerImpSetBonus,buffs,Buff,,[8692FF]Ranger[-],[8692FF]遊俠[-]
buffRangerImpSetBonusName,buffs,buff,,Armor Bonus,護甲加成
buffRangerImpSetBonusTooltip,buffs,buff,,You are affected by the improved Ranger armor bonus.,你受到改進的遊俠護甲加值的影響。
buffRangerImpSetBonusDesc,buffs,Buff,,"You have equipped a full set of [8692FF]«Ranger»[-] improved Armor\nRanged weapon damage increased by [DECEA3]{cvar(.armorRangerImpFSBDisplay:0)}%[-]. When enhancing melee weapons: damage increased by [DECEA3]{cvar(.armorEnhancedDamageRangerImpFSBDisplay:0)}%[-], attack speed increased by [DECEA3]{cvar(.armorEnhancedSpeedRangerImpFSBDisplay:0)}%[-], stamina consumption reduced by [DECEA3]{cvar(.armorEnhancedStaminaRangerImpFSBDisplay:0)}%[-].",您已裝備了一整套 [8692FF]《遊俠》[-] 改良護甲\n遠程武器傷害增加 [DECEA3]{cvar(.armorRangerImpFSBDisplay:0)}%[-]。強化近戰武器時：傷害增加 [DECEA3]{cvar(.armorEnhancedDamageRangerImpFSBDisplay:0)}%[-]，攻擊速度增加[DECEA3]{cvar(.armorEnhancedSpeedRangerImpFSBDisplay:0)}%[-]，體力消耗減少[DECEA3]{cvar(.armorEnhancedStaminaRangerImpFSBDisplay:0)}%[-].
armorCommandoHelmetImp,items,Clothes,,Commando Helmet [8692FF]Improved[-],突擊隊頭盔 [8692FF]《改進》[-]
armorCommandoHelmetImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Special Forces Helmet. Health regeneration rate has been increased. You are now better trained in combat.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by automatic weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],中型裝甲\n特種部隊頭盔的改良版。健康恢復率已提高。您現在在戰鬥中得到了更好的訓練。 \n\n[DECEA3]全套獎勵：[-]\n[FF6666]近戰武器增強[-]可用（安裝在手套中）。增加自動武器造成的傷害。 \n\n[DECEA3]修理需要修理套件（改良）。 [-]
armorCommandoOutfitImp,items,Clothes,,Commando Outfit [8692FF]Improved[-],突擊隊服裝 [8692FF]《改進》[-]
armorCommandoOutfitImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Special Forces uniform. True Special Forces can take any hit without flinching. Faster recovery from critical injuries.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by automatic weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],中型裝甲\n特種部隊制服的改良版。真正的特種部隊可以毫不畏縮地承受任何打擊。更快地從嚴重傷害中恢復。 \n\n[DECEA3]全套獎勵：[-]\n[FF6666]近戰武器增強[-]可用（安裝在手套中）。增加自動武器造成的傷害。 \n\n[DECEA3]修理需要修理套件（改良）。 [-]
armorCommandoGlovesImp,items,Clothes,,Commando Gloves [8692FF]Improved[-],突擊隊手套 [8692FF]《改進》[-]
armorCommandoGlovesImpDesc,items,Clothes,,"Medium Armor\nAn improved version of the Commando Gloves. A good marksman can easily disassemble and reassemble his weapon, and the reloading process has been perfected. You can install a boost to increase the attack speed of melee weapons.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by automatic weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-]",中型護甲\n突擊隊手套的改良版。一個好的射手可以輕鬆地拆卸和重新組裝他的武器，並且重新裝填過程已經很完善。您可以安裝助推器來提高近戰武器的攻擊速度。 \n\n[DECEA3]全套獎勵：[-]\n[FF6666]近戰武器助推器[-]可用（安裝在手套中）。增加自動武器造成的傷害。 \n\n[DECEA3]修理需要修理套件（改良）。 [-]
armorCommandoBootsImp,items,Clothes,,Commando Boots [8692FF]Improved[-],突擊隊靴子 [8692FF]《改進》[-]
armorCommandoBootsImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Special Forces boots. These boots are suitable for the most difficult obstacle course. Increases the safe fall height. It is much easier for you to maintain your balance during melee attacks.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by automatic weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],中型裝甲\n特種部隊靴子的改進版本。這些靴子適合最困難的障礙路線。增加安全墜落高度。在近戰攻擊中你更容易保持平衡。 \n\n[DECEA3]全套獎勵：[-]\n[FF6666]近戰武器增強[-]可用（安裝在手套中）。增加自動武器造成的傷害。 \n\n[DECEA3]修理需要修理套件（改良）。 [-]
buffCommandoImpSetBonus,buffs,Buff,,[8692FF]Commando[-],[8692FF]突擊隊[-]
buffCommandoImpSetBonusName,buffs,buff,,Armor Bonus,護甲加成
buffCommandoImpSetBonusTooltip,buffs,buff,,You are affected by the improved Commando armor bonus.,你受到改進的突擊隊裝甲加成的影響。
buffCommandoImpSetBonusDesc,buffs,Buff,,"You have equipped a full set of [8692FF]«Commando»[-] improved Armor\nAutomatic weapon damage increased by [DECEA3]{cvar(.armorCommandoImpFSBDisplay:0)}%[-]. When enhancing melee weapons: damage increased by [DECEA3]{cvar(.armorEnhancedDamageCommandoImpFSBDisplay:0)}%[-], attack speed increased by [DECEA3]{cvar(.armorEnhancedSpeedCommandoImpFSBDisplay:0)}%[-], stamina consumption reduced by [DECEA3]{cvar(.armorEnhancedStaminaCommandoImpFSBDisplay:0)}%[-].",您已裝備全套 [8692FF]《突擊隊》[-] 改良護甲\n自動武器傷害增加 [DECEA3]{cvar(.armorCommandoImpFSBDisplay:0)}%[-]。強化近戰武器時：傷害增加 [DECEA3]{cvar(.armorEnhancedDamageCommandoImpFSBDisplay:0)}%[-]，攻擊速度增加[DECEA3]{cvar(.armorEnhancedSpeedCommandoImpFSBDisplay:0)}%[-]，體力消耗減少[DECEA3]{cvar(.armorEnhancedStaminaCommandoImpFSBDisplay:0)}%[-].
armorAssassinHelmetImp,items,Clothes,,Assassin Helmet [8692FF]Improved[-],刺客頭盔 [8692FF]«改良»[-]
armorAssassinHelmetImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Assassin Hood. They won't even notice. Increases damage while stealthed. Now you are better trained in combat.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by sniper rifles.\n\n[DECEA3]Repair requires repair kit (improved).[-],中型護甲\n刺客兜帽的改良版。他們甚至不會注意到。潛行時增加傷害。現在你在戰鬥中得到了更好的訓練。 \n\n[DECEA3]全套獎勵：[-]\n[FF6666]近戰武器增強[-]可用（安裝在手套中）。增加狙擊步槍造成的傷害。 \n\n[DECEA3]修理需要修理套件（改良）。 [-]
armorAssassinOutfitImp,items,Clothes,,Assassin Outfit [8692FF]Improved[-],刺客套裝 [8692FF]《改良》[-]
armorAssassinOutfitImpDesc,items,Clothes,,"Medium Armor\nAn improved version of the Assassin Outfit. Be unseen, unheard, and unharmed. Increases your effectiveness while in stealth mode and your carrying capacity.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by sniper rifles.\n\n[DECEA3]Repair requires repair kit (improved).[-]",中型裝甲\n刺客套裝的改良版。看不見、聽不到、不受傷害。提高你在隱身模式下的效率和攜帶能力。 \n\n[DECEA3]全套獎勵：[-]\n[FF6666]近戰武器增強[-]可用（安裝在手套中）。增加狙擊步槍造成的傷害。 \n\n[DECEA3]修理需要修理套件（改良）。 [-]
armorAssassinGlovesImp,items,Clothes,,Assassin Gloves [8692FF]Improved[-],刺客手套 [8692FF]«改進»[-]
armorAssassinGlovesImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Assassin Gloves. Silent - but very fast. Increases the rate of fire and reload speed of sniper rifles. You can install a boost to increase the attack speed of melee weapons.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by sniper rifles.\n\n[DECEA3]Repair requires repair kit (improved).[-],中型護甲\n刺客手套的改良版。安靜——但速度非常快。提高狙擊步槍的射速和裝填速度。您可以安裝助推器來提高近戰武器的攻擊速度。 \n\n[DECEA3]全套獎勵：[-]\n[FF6666]近戰武器助推器[-]可用（安裝在手套中）。增加狙擊步槍造成的傷害。 \n\n[DECEA3]修理需要修理套件（改良）。 [-]
armorAssassinBootsImp,items,Clothes,,Assassin Boots [8692FF]Improved[-],刺客靴子 [8692FF]《改良》[-]
armorAssassinBootsImpDesc,items,Clothes,,"Medium Armor\nAn improved version of the Assassin Boots. Become silent but deadly. When running in stealth mode, you will not make any sounds. It is much easier for you to maintain your balance during melee attacks.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by sniper rifles.\n\n[DECEA3]Repair requires repair kit (improved).[-]",中型護甲\n刺客靴子的改良版。變得沉默但致命。在隱身模式下運作時，您不會發出任何聲音。在近戰攻擊中你更容易保持平衡。 \n\n[DECEA3]全套獎勵：[-]\n[FF6666]近戰武器增強[-]可用（安裝在手套中）。增加狙擊步槍造成的傷害。 \n\n[DECEA3]修理需要修理套件（改良）。 [-]
buffAssassinImpSetBonus,buffs,Buff,,[8692FF]Assassin[-],[8692FF]刺客[-]
buffAssassinImpSetBonusName,buffs,buff,,Armor Bonus,護甲加成
buffAssassinImpSetBonusTooltip,buffs,buff,,You are affected by the improved Assassin armor bonus.,你會受到改進的刺客護甲加值的影響。
