Key,Source,Context,Changes,English,Schinese
modEnhancedClubDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to club proficiency when wearing a full set of improved armor.,增强装甲以改善装甲。安装在手套中。\n\n穿着全套改进的盔甲时，会获得俱乐部熟练程度的奖励。
modEnhancedSledgehammer,item_modifiers,mod,,[FF6666]«Boost»[-] Sledgehammers,[FF6666]«Boost»[-]大锤
modEnhancedSledgehammerDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to sledgehammer proficiency when wearing a full set of improved armor.,增强装甲以改善装甲。安装在手套中。\n\n穿着全套改良盔甲时，可获得大锤熟练度加值。
modEnhancedKnuckles,item_modifiers,mod,,[FF6666]«Boost»[-] Knuckles,[FF6666]«增强»[-]指节
modEnhancedKnucklesDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to knuckle proficiency when wearing a full set of improved armor.,增强装甲以改善装甲。安装在手套中。\n\n穿着全套改良盔甲时，可提高指关节熟练度。
modEnhancedKnife,item_modifiers,mod,,[FF6666]«Boost»[-] Knives and Machetes,[FF6666]«Boost»[-]刀具和砍刀
modEnhancedKnifeDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGives a bonus to knife and machete proficiency when wearing a full set of improved armor.,增强装甲以改善装甲。安装在手套中。\n\n穿着全套改进的盔甲时，可以提高刀和砍刀的熟练程度。
modEnhancedStunBaton,item_modifiers,mod,,[FF6666]«Boost»[-] Stun Batons,[FF6666]《增强》[-]电棍
modEnhancedStunBatonDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to stun baton proficiency when wearing a full set of improved armor.,增强装甲以改善装甲。安装在手套中。\n\n穿着全套改良盔甲时，可获得击晕警棍熟练度加值。
armorRogueHelmetImp,items,Clothes,,Rogue Hood [8692FF]Improved[-],盗贼兜帽[8692FF]《改进》[-]
armorRogueHelmetImpDesc,items,Clothes,,Light Armor\nAn improved version of the Rogue Hood. A true rogue always recognizes loot. You find more banknotes and dukes in loot. You are now better trained in combat.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt with bows and crossbows.\n\n[DECEA3]Repair requires repair kit (improved).[-],轻甲\n盗贼兜帽的改进版本。真正的盗贼总是能认出战利品。你会在战利品中找到更多的钞票和公爵。你现在在战斗方面受到了更好的训练。\n\n全套奖励：可用[FF6666] 近战武器增强[-]（安装在手套中）。增加弓和十字弓造成的伤害。\n\n[DECEA3]修复需要修复套件（改进）。[-]
armorRogueOutfitImp,items,Clothes,,Rogue Outfit [8692FF]Improved[-],盗贼服装[8692FF]《改进版》[-]
armorRogueOutfitImpDesc,items,Clothes,,Light Armor\nAn improved version of the Rogue's outfit. Heals wounds like a dog. Increases the speed of critical wound healing. You can now carry more.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt by bows and crossbows.\n\n[DECEA3]Repair requires repair kit (improved).[-],轻甲\n盗贼服装的改进版本。像狗一样治愈伤口。提高关键伤口的愈合速度。您现在可以携带更多。\n\n全套奖励：可用[FF6666] 近战武器增强[-]（安装在手套中）。增加弓和十字弓造成的伤害。\n\n[DECEA3]修复需要修复套件（改进）。[-]
armorRogueGlovesImp,items,Clothes,,Rogue Gloves [8692FF]Improved[-],盗贼手套[8692FF]《改进》[-]
armorRogueGlovesImpDesc,items,Clothes,,Light Armor\nAn improved version of the Rogue Gloves. Arrows and bolts do not slip out of your hands at an inopportune moment. Increased reload speed of bows and crossbows. You can install a boost to increase the attack speed of melee weapons.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt by bows and crossbows.\n\n[DECEA3]Repair requires repair kit (improved).[-],轻甲\n盗贼手套的改进版本。箭和螺栓不会在不合时宜的时刻从你手中滑落。提高弓和十字弓的装填速度。您可以安装助推器来提高近战武器的攻击速度。\n\n全套奖励：可用[FF6666] 近战武器增强[-]（安装在手套中）。增加弓和十字弓造成的伤害。\n\n[DECEA3]修复需要修复套件（改进）。[-]
armorRogueBootsImp,items,Clothes,,Rogue Shoes [8692FF]Improved[-],盗贼鞋子[8692FF]《改进》[-]
armorRogueBootsImpDesc,items,Clothes,,Light Armor\nAn improved version of the Rogue's Boots. Almost ninja-like. Less noise and faster movement in stealth. Much easier to maintain balance during melee attacks.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt by bows and crossbows.\n\n[DECEA3]Repair requires repair kit (improved).[-],轻甲\n盗贼之靴的改进版本。几乎像忍者。隐身时噪音更小，移动速度更快。在近战攻击中更容易保持平衡。\n\n全套奖励：可用[FF6666] 近战武器增强[-]（安装在手套中）。增加弓和十字弓造成的伤害。\n\n[DECEA3]修复需要修复套件（改进）。[-]
buffRogueImpSetBonus,buffs,Buff,,[8692FF]Rogue[-],[8692FF]Rogue[-]
buffRogueImpSetBonusName,buffs,buff,,Armor Bonus,护甲加成
buffRogueImpSetBonusTooltip,buffs,buff,,You are affected by the improved Rogue armor bonus.,你受到改进的盗贼护甲加值的影响。
buffRogueImpSetBonusDesc,buffs,Buff,,"You have equipped a full set of [8692FF]«Rogue»[-] improved armor.\nBow and crossbow damage increased by [DECEA3]{cvar(.armorRogueImpFSBDisplay:0)}%[-]. When enhancing melee weapons: damage increased by [DECEA3]{cvar(.armorEnhancedDamageRogueImpFSBDisplay:0)}%[-], attack speed increased by [DECEA3]{cvar(.armorEnhancedSpeedRogueImpFSBDisplay:0)}%[-], stamina consumption reduced by [DECEA3]{cvar(.armorEnhancedStaminaRogueImpFSBDisplay:0)}%[-].",您已经装备了全套[8692FF]«Rogue»[-]改良装甲。\n弓和弩伤害增加[DECEA3]{cvar(.armorRogueImpFSBDisplay:0)}%[-]。强化近战武器时：伤害增加[DECEA3]{cvar(.armorEnhancedDamageRogueImpFSBDisplay:0)}%[-]，攻击速度增加[DECEA3]{cvar(.armorEnhancedSpeedRogueImpFSBDisplay:0)}%[-]，体力消耗减少[DECEA3]{cvar(.armorEnhancedStaminaRogueImpFSBDisplay:0)}%[-]。
armorEnforcerHelmetImp,items,Clothes,,Enforcer Sunglasses [8692FF]Improved[-],执法者太阳镜[8692FF]《改进型》[-]
armorEnforcerHelmetImpDesc,items,Clothes,,"Light Armor\nAn improved version of the Enforcer Sunglasses. With these glasses, you can always negotiate a good price for your product. This increases the selling price. You are now better trained in combat.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases the damage of the Gunslinger ability.\n\n[DECEA3]Repair requires repair kit (improved).[-]",轻甲\n执法者太阳镜的改进版本。有了这些眼镜，您始终可以为您的产品讨价还价。这增加了销售价格。你现在在战斗方面受到了更好的训练。\n\n全套奖励：可用[FF6666] 近战武器增强[-]（安装在手套中）。增加枪手技能的伤害。\n\n[DECEA3]修复需要修复套件（改进）。[-]
armorEnforcerOutfitImp,items,Clothes,,Enforcer Outfit [8692FF]Improved[-],执行者服装[8692FF]《改进》[-]
armorEnforcerOutfitImpDesc,items,Clothes,,Light Armor\nAn improved version of the Enforcer Outfit. Stylish and lightweight materials mean you can withstand any impact. Increases resistance to critical injuries. Now you can carry more.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases the damage of the Gunslinger ability.\n\n[DECEA3]Repair requires repair kit (improved).[-],轻甲\n执法者服装的改进版本。时尚轻质的材料意味着您可以承受任何冲击。提高对严重伤害的抵抗力。现在你可以携带更多。\n\n全套奖励：可用[FF6666] 近战武器增强[-]（安装在手套中）。增加枪手技能的伤害。\n\n[DECEA3]修复需要修复套件（改进）。[-]
armorEnforcerGlovesImp,items,Clothes,,Enforcer Gloves [8692FF]Improved[-],执法者手套[8692FF]《改进版》[-]
armorEnforcerGlovesImpDesc,items,Clothes,,Light Armor\nAn improved version of the Enforcer Gloves. Gloves like these were worn back in the days of the Wild West. Increases reload speed for SMGs and pistols. You can install a boost to increase melee weapon attack speed.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt by the Gunslinger ability.\n\n[DECEA3]Repair requires repair kit (improved).[-],轻甲\n执法者手套的改进版本。像这样的手套在狂野西部时代就被佩戴过。提高冲锋枪和手枪的装弹速度。您可以安装助推器来提高近战武器的攻击速度。\n\n全套奖励：可用[FF6666] 近战武器增强[-]（安装在手套中）。增加枪手技能造成的伤害。\n\n[DECEA3]修复需要修复套件（改进）。[-]
armorEnforcerBootsImp,items,Clothes,,Enforcer Shoes [8692FF]Improved[-],执法者鞋子[8692FF]《改进版》[-]
armorEnforcerBootsImpDesc,items,Clothes,,Light Armor\nAn improved version of the Enforcer Shoes.\nThese shoes will not soon become unusable. Increases stamina. It is much easier for you to maintain your balance during melee attacks.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases the damage of the Gunslinger ability.\n\n[DECEA3]Repair requires repair kit (improved).[-],轻甲\n执法者鞋子的改进版本。\n这些鞋不会很快变得无法使用。增加耐力。在近战攻击中你更容易保持平衡。\n\n全套奖励：可用[FF6666] 近战武器增强[-]（安装在手套中）。增加枪手技能的伤害。\n\n[DECEA3]修复需要修复套件（改进）。[-]
buffEnforcerImpSetBonus,buffs,Buff,,[8692FF]Enforcer[-],[8692FF]Enforcer[-]
buffEnforcerImpSetBonusName,buffs,buff,,Armor Bonus,护甲加成
buffEnforcerImpSetBonusTooltip,buffs,buff,,You are affected by the improved Enforcer armor bonus.,你受到改进的执法者护甲加值的影响。
buffEnforcerImpSetBonusDesc,buffs,Buff,,"You have equipped a full set of [8692FF]«Enforcer»[-] improved Armor\nSMG and pistol damage increased by [DECEA3]{cvar(.armorEnforcerImpFSBDisplay:0)}%[-]. When enhancing melee weapons: damage increased by [DECEA3]{cvar(.armorEnhancedDamageEnforcerImpFSBDisplay:0)}%[-], attack speed increased by [DECEA3]{cvar(.armorEnhancedSpeedEnforcerImpFSBDisplay:0)}%[-], stamina consumption reduced by [DECEA3]{cvar(.armorEnhancedStaminaEnforcerImpFSBDisplay:0)}%[-].",您已经装备了全套[8692FF]«执法者»[-]改进装甲\nSMG和手枪伤害增加了[DECEA3]{cvar(.armorEnforcerImpFSBDisplay:0)}%[-]。强化近战武器时：伤害增加[DECEA3]{cvar(.armorEnhancedDamageEnforcerImpFSBDisplay:0)}%[-]，攻击速度增加[DECEA3]{cvar(.armorEnhancedSpeedEnforcerImpFSBDisplay:0)}%[-]，体力消耗减少[DECEA3]{cvar(.armorEnhancedStaminaEnforcerImpFSBDisplay:0)}%[-]。
armorRangerHelmetImp,items,Clothes,,Ranger Helmet [8692FF]Improved[-],游骑兵头盔[8692FF]《改进版》[-]
armorRangerHelmetImpDesc,items,Clothes,,"Medium Armor\nImproved version of the Ranger Hat. Rangers are fierce negotiators, especially when wearing a well-made hat. Increases the profitability of trade deals. Now you are better trained in combat.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by ranged weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-]",中型装甲\n游骑兵帽子的改进版本。护林员是凶猛的谈判者，尤其是戴着做工精良的帽子时。提高贸易交易的盈利能力。现在你在战斗方面得到了更好的训练。\n\n[DECEA3]全套奖励：[-]\n[FF6666]近战武器增强[-]可用（安装在手套中）。增加远程武器造成的伤害。\n\n[DECEA3]修复需要修复套件（改进）。[-]
armorRangerOutfitImp,items,Clothes,,Ranger Outfit [8692FF]Improved[-],游侠服装[8692FF]《改进》[-]
armorRangerOutfitImpDesc,items,Clothes,,"Medium Armor\nAn improved version of the Ranger Outfit. Nature has taught strength not only of the spirit, but also of the body. Increases the number of health units, as well as your load capacity.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by ranged weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-]",中型装甲\n游骑兵服装的改进版本。大自然不仅教会了精神的力量，也教会了身体的力量。增加生命值单位的数量以及你的负载能力。\n\n[DECEA3]全套奖励：[-]\n[FF6666]近战武器增强[-]可用（安装在手套中）。增加远程武器造成的伤害。\n\n[DECEA3]修复需要修复套件（改进）。[-]
armorRangerGlovesImp,items,Clothes,,Ranger Gloves [8692FF]Improved[-],游骑兵手套[8692FF]《改进版》[-]
armorRangerGlovesImpDesc,items,Clothes,,Medium Armor\nImproved version of the Ranger's Gloves. These comfortable gloves allow you to quickly handle any weapon. Increases weapon reload speed. You can install a boost to increase the attack speed of melee weapons.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by ranged weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],中型装甲\n游骑兵手套的改进版本。这些舒适的手套让您可以快速操作任何武器。提高武器装填速度。您可以安装助推器来提高近战武器的攻击速度。\n\n[DECEA3]全套奖励：[-]\n[FF6666]近战武器增强[-]可用（安装在手套中）。增加远程武器造成的伤害。\n\n[DECEA3]修复需要修复套件（改进）。[-]
armorRangerBootsImp,items,Clothes,,Ranger Boots [8692FF]Improved[-],游骑兵靴[8692FF]《改进版》[-]
armorRangerBootsImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Ranger's Boots. Stamina is the key to successful survival in the wilderness. Increases your stamina. It is much easier for you to maintain your balance during melee attacks.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by ranged weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],中型装甲\n游骑兵靴子的改进版本。耐力是在荒野中成功生存的关键。增加你的耐力。在近战攻击中你更容易保持平衡。\n\n[DECEA3]全套奖励：[-]\n[FF6666]近战武器增强[-]可用（安装在手套中）。增加远程武器造成的伤害。\n\n[DECEA3]修复需要修复套件（改进）。[-]
buffRangerImpSetBonus,buffs,Buff,,[8692FF]Ranger[-],[8692FF]Ranger[-]
buffRangerImpSetBonusName,buffs,buff,,Armor Bonus,护甲加成
buffRangerImpSetBonusTooltip,buffs,buff,,You are affected by the improved Ranger armor bonus.,你受到改进的游侠护甲加值的影响。
buffRangerImpSetBonusDesc,buffs,Buff,,"You have equipped a full set of [8692FF]«Ranger»[-] improved Armor\nRanged weapon damage increased by [DECEA3]{cvar(.armorRangerImpFSBDisplay:0)}%[-]. When enhancing melee weapons: damage increased by [DECEA3]{cvar(.armorEnhancedDamageRangerImpFSBDisplay:0)}%[-], attack speed increased by [DECEA3]{cvar(.armorEnhancedSpeedRangerImpFSBDisplay:0)}%[-], stamina consumption reduced by [DECEA3]{cvar(.armorEnhancedStaminaRangerImpFSBDisplay:0)}%[-].",您已装备了全套[8692FF]«游侠»[-]改进护甲\n远程武器伤害增加了[DECEA3]{cvar(.armorRangerImpFSBDisplay:0)}%[-]。强化近战武器时：伤害增加[DECEA3]{cvar(.armorEnhancedDamageRangerImpFSBDisplay:0)}%[-]，攻击速度增加[DECEA3]{cvar(.armorEnhancedSpeedRangerImpFSBDisplay:0)}%[-]，体力消耗减少[DECEA3]{cvar(.armorEnhancedStaminaRangerImpFSBDisplay:0)}%[-]。
armorCommandoHelmetImp,items,Clothes,,Commando Helmet [8692FF]Improved[-],突击队头盔[8692FF]《改进版》[-]
armorCommandoHelmetImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Special Forces Helmet. Health regeneration rate has been increased. You are now better trained in combat.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by automatic weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],中型装甲\n特种部队头盔的改进版本。健康恢复率已提高。你现在在战斗方面受到了更好的训练。\n\n[DECEA3]全套奖励：[-]\n[FF6666]近战武器增强[-]可用（安装在手套中）。增加自动武器造成的伤害。\n\n[DECEA3]修复需要修复套件（改进）。[-]
armorCommandoOutfitImp,items,Clothes,,Commando Outfit [8692FF]Improved[-],突击队服装[8692FF]《改进》[-]
armorCommandoOutfitImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Special Forces uniform. True Special Forces can take any hit without flinching. Faster recovery from critical injuries.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by automatic weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],中型装甲\n特种部队制服的改进版本。真正的特种部队可以毫不畏缩地承受任何打击。从严重伤害中恢复得更快。\n\n[DECEA3]全套奖励：[-]\n[FF6666]近战武器增强[-]可用（安装在手套中）。增加自动武器造成的伤害。\n\n[DECEA3]修复需要修复套件（改进）。[-]
armorCommandoGlovesImp,items,Clothes,,Commando Gloves [8692FF]Improved[-],突击队手套[8692FF]《改进版》[-]
armorCommandoGlovesImpDesc,items,Clothes,,"Medium Armor\nAn improved version of the Commando Gloves. A good marksman can easily disassemble and reassemble his weapon, and the reloading process has been perfected. You can install a boost to increase the attack speed of melee weapons.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by automatic weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-]",中型装甲\n突击队手套的改进版本。一个好的射手可以轻松地拆卸和重新组装他的武器，并且重新装填过程已经很完善。您可以安装助推器来提高近战武器的攻击速度。\n\n[DECEA3]全套奖励：[-]\n[FF6666]近战武器增强[-]可用（安装在手套中）。增加自动武器造成的伤害。\n\n[DECEA3]修复需要修复套件（改进）。[-]
armorCommandoBootsImp,items,Clothes,,Commando Boots [8692FF]Improved[-],突击队靴[8692FF]《改进版》[-]
armorCommandoBootsImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Special Forces boots. These boots are suitable for the most difficult obstacle course. Increases the safe fall height. It is much easier for you to maintain your balance during melee attacks.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by automatic weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],中型装甲\n特种部队靴子的改进版本。这些靴子适合最困难的障碍路线。增加安全坠落高度。在近战攻击中你更容易保持平衡。\n\n[DECEA3]全套奖励：[-]\n[FF6666]近战武器增强[-]可用（安装在手套中）。增加自动武器造成的伤害。\n\n[DECEA3]修复需要修复套件（改进）。[-]
buffCommandoImpSetBonus,buffs,Buff,,[8692FF]Commando[-],[8692FF]突击队[-]
buffCommandoImpSetBonusName,buffs,buff,,Armor Bonus,护甲加成
buffCommandoImpSetBonusTooltip,buffs,buff,,You are affected by the improved Commando armor bonus.,你受到改进的突击队装甲加成的影响。
buffCommandoImpSetBonusDesc,buffs,Buff,,"You have equipped a full set of [8692FF]«Commando»[-] improved Armor\nAutomatic weapon damage increased by [DECEA3]{cvar(.armorCommandoImpFSBDisplay:0)}%[-]. When enhancing melee weapons: damage increased by [DECEA3]{cvar(.armorEnhancedDamageCommandoImpFSBDisplay:0)}%[-], attack speed increased by [DECEA3]{cvar(.armorEnhancedSpeedCommandoImpFSBDisplay:0)}%[-], stamina consumption reduced by [DECEA3]{cvar(.armorEnhancedStaminaCommandoImpFSBDisplay:0)}%[-].",您已装备全套[8692FF]«突击队»[-]改进装甲\n自动武器伤害增加[DECEA3]{cvar(.armorCommandoImpFSBDisplay:0)}%[-]。强化近战武器时：伤害增加[DECEA3]{cvar(.armorEnhancedDamageCommandoImpFSBDisplay:0)}%[-]，攻击速度增加[DECEA3]{cvar(.armorEnhancedSpeedCommandoImpFSBDisplay:0)}%[-]，体力消耗减少[DECEA3]{cvar(.armorEnhancedStaminaCommandoImpFSBDisplay:0)}%[-]。
armorAssassinHelmetImp,items,Clothes,,Assassin Helmet [8692FF]Improved[-],刺客头盔[8692FF]《改进》[-]
armorAssassinHelmetImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Assassin Hood. They won't even notice. Increases damage while stealthed. Now you are better trained in combat.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by sniper rifles.\n\n[DECEA3]Repair requires repair kit (improved).[-],中型装甲\n刺客兜帽的改进版本。他们甚至不会注意到。潜行时增加伤害。现在你在战斗方面得到了更好的训练。\n\n[DECEA3]全套奖励：[-]\n[FF6666]近战武器增强[-]可用（安装在手套中）。增加狙击步枪造成的伤害。\n\n[DECEA3]修复需要修复套件（改进）。[-]
armorAssassinOutfitImp,items,Clothes,,Assassin Outfit [8692FF]Improved[-],刺客装[8692FF]《改进》[-]
armorAssassinOutfitImpDesc,items,Clothes,,"Medium Armor\nAn improved version of the Assassin Outfit. Be unseen, unheard, and unharmed. Increases your effectiveness while in stealth mode and your carrying capacity.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by sniper rifles.\n\n[DECEA3]Repair requires repair kit (improved).[-]",中型装甲\n刺客套装的改良版。看不见、听不到、不受伤害。提高你在隐身模式下的效率和承载能力。\n\n[DECEA3]全套奖励：[-]\n[FF6666]近战武器增强[-]可用（安装在手套中）。增加狙击步枪造成的伤害。\n\n[DECEA3]修复需要修复套件（改进）。[-]
armorAssassinGlovesImp,items,Clothes,,Assassin Gloves [8692FF]Improved[-],刺客手套[8692FF]《改进》[-]
armorAssassinGlovesImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Assassin Gloves. Silent - but very fast. Increases the rate of fire and reload speed of sniper rifles. You can install a boost to increase the attack speed of melee weapons.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by sniper rifles.\n\n[DECEA3]Repair requires repair kit (improved).[-],"pero muy rápido. Aumenta la cadencia de fuego y la velocidad de recarga de los rifles de francotirador. Puedes instalar una mejora para aumentar la velocidad de ataque de las armas de cuerpo a cuerpo.\n\n[DECEA3]Bonificación de conjunto completo:[-]\n[FF6666]Mejora de arma de cuerpo a cuerpo[-] disponible (instalada en los guantes). Aumenta el daño infligido por rifles de francotirador.\n\n[DECEA3]Para su reparación se requiere un kit de reparación mejorado.[-]"""""
armorAssassinBootsImp,items,Clothes,,Assassin Boots [8692FF]Improved[-],刺客靴子[8692FF]《改进》[-]
armorAssassinBootsImpDesc,items,Clothes,,"Medium Armor\nAn improved version of the Assassin Boots. Become silent but deadly. When running in stealth mode, you will not make any sounds. It is much easier for you to maintain your balance during melee attacks.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by sniper rifles.\n\n[DECEA3]Repair requires repair kit (improved).[-]",中型装甲\n刺客靴子的改进版本。变得沉默但致命。在隐身模式下运行时，您不会发出任何声音。在近战攻击中你更容易保持平衡。\n\n[DECEA3]全套奖励：[-]\n[FF6666]近战武器增强[-]可用（安装在手套中）。增加狙击步枪造成的伤害。\n\n[DECEA3]修复需要修复套件（改进）。[-]
buffAssassinImpSetBonus,buffs,Buff,,[8692FF]Assassin[-],[8692FF]A刺客[-]
buffAssassinImpSetBonusName,buffs,buff,,Armor Bonus,护甲加成
buffAssassinImpSetBonusTooltip,buffs,buff,,You are affected by the improved Assassin armor bonus.,你会受到改进的刺客护甲加成的影响。
buffAssassinImpSetBonusDesc,buffs,Buff,,"You have equipped a full set of [8692FF]«Assassin»[-] Improved Armor\nSniper rifle damage increased by [DECEA3]{cvar(.armorAssassinImpFSBDisplay:0)}%[-]. When enhancing melee weapons: damage increased by [DECEA3]{cvar(.armorEnhancedDamageAssassinImpFSBDisplay:0)}%[-], attack speed increased by [DECEA3]{cvar(.armorEnhancedSpeedAssassinImpFSBDisplay:0)}%[-], stamina cost reduced by [DECEA3]{cvar(.armorEnhancedStaminaAssassinImpFSBDisplay:0)}%[-].",您已装备全套[8692FF]《刺客》[-]改良装甲\n狙击步枪伤害增加[DECEA3]{cvar(.armorAssassinImpFSBDisplay:0)}%[-]。强化近战武器时：伤害增加[DECEA3]{cvar(.armorEnhancedDamageAssassinImpFSBDisplay:0)}%[-]，攻击速度增加[DECEA3]{cvar(.armorEnhancedSpeedAssassinImpFSBDisplay:0)}%[-]，体力消耗减少[DECEA3]{cvar(.armorEnhancedStaminaAssassinImpFSBDisplay:0)}%[-]。
armorGathererHelmetImp,items,Clothes,,Gatherer Helmet [8692FF]Improved[-],采集者头盔[8692FF]《改进版》[-]
