Key,Source,Context,Changes,English,Italian
modEnhancedSpearDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to spear proficiency when wearing a full set of improved armor.,Miglioramento per un'armatura migliorata. Installato nei guanti.\n\nConferisce un bonus alla competenza con la lancia quando si indossa un set completo di armature migliorate.
modEnhancedClub,item_modifiers,mod,,[FF6666]«Boost»[-] Clubs,[FF6666]«Boost»[-] Club
modEnhancedClubDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to club proficiency when wearing a full set of improved armor.,Miglioramento per un'armatura migliorata. Installato nei guanti.\n\nConferisce un bonus alla competenza nel club quando si indossa un set completo di armature migliorate.
modEnhancedSledgehammer,item_modifiers,mod,,[FF6666]«Boost»[-] Sledgehammers,[FF6666]«Boost»[-] Mazze
modEnhancedSledgehammerDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to sledgehammer proficiency when wearing a full set of improved armor.,Miglioramento per un'armatura migliorata. Installato nei guanti.\n\nConferisce un bonus alla competenza nella mazza quando si indossa un set completo di armature migliorate.
modEnhancedKnuckles,item_modifiers,mod,,[FF6666]«Boost»[-] Knuckles,[FF6666]«Boost»[-] Nocche
modEnhancedKnucklesDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to knuckle proficiency when wearing a full set of improved armor.,Miglioramento per un'armatura migliorata. Installato nei guanti.\n\nConferisce un bonus all'abilità nelle nocche quando si indossa un set completo di armature migliorate.
modEnhancedKnife,item_modifiers,mod,,[FF6666]«Boost»[-] Knives and Machetes,[FF6666]«Boost»[-] Coltelli e machete
modEnhancedKnifeDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGives a bonus to knife and machete proficiency when wearing a full set of improved armor.,Miglioramento per un'armatura migliorata. Installato nei guanti.\n\nConferisce un bonus alla competenza con coltello e machete quando si indossa un set completo di armature migliorate.
modEnhancedStunBaton,item_modifiers,mod,,[FF6666]«Boost»[-] Stun Batons,[FF6666]«Boost»[-] Manganelli stordenti
modEnhancedStunBatonDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to stun baton proficiency when wearing a full set of improved armor.,Miglioramento per un'armatura migliorata. Installato nei guanti.\n\nConferisce un bonus alla competenza con il bastone stordente quando si indossa un set completo di armature migliorate.
armorRogueHelmetImp,items,Clothes,,Rogue Hood [8692FF]Improved[-],Rogue Hood [8692FF]«Migliorato»[-]
armorRogueHelmetImpDesc,items,Clothes,,Light Armor\nAn improved version of the Rogue Hood. A true rogue always recognizes loot. You find more banknotes and dukes in loot. You are now better trained in combat.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt with bows and crossbows.\n\n[DECEA3]Repair requires repair kit (improved).[-],Armatura leggera\nUna versione migliorata del Rogue Hood. Un vero ladro riconosce sempre il bottino. Troverai più banconote e duchi nel bottino. Ora sei meglio addestrato al combattimento.\n\nBonus set completo: disponibile [FF6666]Potenziamento arma da mischia[-] (installato nei guanti). Aumenta il danno inflitto con archi e balestre.\n\n[DECEA3]La riparazione richiede un kit di riparazione (migliorato).[-]
armorRogueOutfitImp,items,Clothes,,Rogue Outfit [8692FF]Improved[-],Costume da Ladro [8692FF]«Migliorato»[-]
armorRogueOutfitImpDesc,items,Clothes,,Light Armor\nAn improved version of the Rogue's outfit. Heals wounds like a dog. Increases the speed of critical wound healing. You can now carry more.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt by bows and crossbows.\n\n[DECEA3]Repair requires repair kit (improved).[-],Armatura leggera\nUna versione migliorata dell'equipaggiamento del Ladro. Guarisce le ferite come un cane. Aumenta la velocità di guarigione delle ferite critiche. Ora puoi trasportarne di più.\n\nBonus set completo: disponibile [FF6666]Potenziamento arma da mischia[-] (installato nei guanti). Aumenta i danni inflitti da archi e balestre.\n\n[DECEA3]La riparazione richiede un kit di riparazione (migliorato).[-]
armorRogueGlovesImp,items,Clothes,,Rogue Gloves [8692FF]Improved[-],Guanti Rogue [8692FF]«Migliorati»[-]
armorRogueGlovesImpDesc,items,Clothes,,Light Armor\nAn improved version of the Rogue Gloves. Arrows and bolts do not slip out of your hands at an inopportune moment. Increased reload speed of bows and crossbows. You can install a boost to increase the attack speed of melee weapons.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt by bows and crossbows.\n\n[DECEA3]Repair requires repair kit (improved).[-],Armatura leggera\nUna versione migliorata dei Guanti Rogue. Frecce e dardi non ti sfuggono di mano nel momento inopportuno. Aumentata la velocità di ricarica di archi e balestre. Puoi installare un potenziamento per aumentare la velocità di attacco delle armi da mischia.\n\nBonus set completo: disponibile [FF6666]Potenziamento arma da mischia[-] (installato nei guanti). Aumenta i danni inflitti da archi e balestre.\n\n[DECEA3]La riparazione richiede un kit di riparazione (migliorato).[-]
armorRogueBootsImp,items,Clothes,,Rogue Shoes [8692FF]Improved[-],Scarpe Rogue [8692FF]«Migliorato»[-]
armorRogueBootsImpDesc,items,Clothes,,Light Armor\nAn improved version of the Rogue's Boots. Almost ninja-like. Less noise and faster movement in stealth. Much easier to maintain balance during melee attacks.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt by bows and crossbows.\n\n[DECEA3]Repair requires repair kit (improved).[-],Armatura leggera\nUna versione migliorata degli Stivali del Ladro. Quasi ninja. Meno rumore e movimenti più veloci in modalità invisibile. Molto più facile mantenere l'equilibrio durante gli attacchi corpo a corpo.\n\nBonus set completo: disponibile [FF6666]Potenziamento arma corpo a corpo[-] (installato nei guanti). Aumenta i danni inflitti da archi e balestre.\n\n[DECEA3]La riparazione richiede un kit di riparazione (migliorato).[-]
buffRogueImpSetBonus,buffs,Buff,,[8692FF]Rogue[-],[8692FF]Ladro[-]
buffRogueImpSetBonusName,buffs,buff,,Armor Bonus,Bonus armatura
buffRogueImpSetBonusTooltip,buffs,buff,,You are affected by the improved Rogue armor bonus.,Sei influenzato dal bonus migliorato dell'armatura del Ladro.
buffRogueImpSetBonusDesc,buffs,Buff,,"You have equipped a full set of [8692FF]«Rogue»[-] improved armor.\nBow and crossbow damage increased by [DECEA3]{cvar(.armorRogueImpFSBDisplay:0)}%[-]. When enhancing melee weapons: damage increased by [DECEA3]{cvar(.armorEnhancedDamageRogueImpFSBDisplay:0)}%[-], attack speed increased by [DECEA3]{cvar(.armorEnhancedSpeedRogueImpFSBDisplay:0)}%[-], stamina consumption reduced by [DECEA3]{cvar(.armorEnhancedStaminaRogueImpFSBDisplay:0)}%[-].","Hai equipaggiato un set completo di armatura migliorata [8692FF]«Rogue»[-].\nDanni di arco e balestra aumentati del [DECEA3]{cvar(.armorRogueImpFSBDisplay:0)}%[-]. Quando si potenziano le armi da mischia: danno aumentato del [DECEA3]{cvar(.armorEnhancedDamageRogueImpFSBDisplay:0)}%[-], velocità d'attacco aumentata del [DECEA3]{cvar(.armorEnhancedSpeedRogueImpFSBDisplay:0)}%[-], consumo di resistenza ridotto del [DECEA3]{cvar(.armorEnhancedStaminaRogueImpFSBDisplay:0)}%[-]."
armorEnforcerHelmetImp,items,Clothes,,Enforcer Sunglasses [8692FF]Improved[-],Occhiali da sole Enforcer [8692FF]«Migliorato»[-]
armorEnforcerHelmetImpDesc,items,Clothes,,"Light Armor\nAn improved version of the Enforcer Sunglasses. With these glasses, you can always negotiate a good price for your product. This increases the selling price. You are now better trained in combat.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases the damage of the Gunslinger ability.\n\n[DECEA3]Repair requires repair kit (improved).[-]",Armatura leggera\nUna versione migliorata degli occhiali da sole Enforcer. Con questi occhiali puoi sempre negoziare un buon prezzo per il tuo prodotto. Ciò aumenta il prezzo di vendita. Ora sei meglio addestrato al combattimento.\n\nBonus set completo: disponibile [FF6666]Potenziamento arma da mischia[-] (installato nei guanti). Aumenta il danno dell'abilità Pistolero.\n\n[DECEA3]La riparazione richiede un kit di riparazione (migliorato).[-]
armorEnforcerOutfitImp,items,Clothes,,Enforcer Outfit [8692FF]Improved[-],Costume da Enforcer [8692FF]«Migliorato»[-]
armorEnforcerOutfitImpDesc,items,Clothes,,Light Armor\nAn improved version of the Enforcer Outfit. Stylish and lightweight materials mean you can withstand any impact. Increases resistance to critical injuries. Now you can carry more.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases the damage of the Gunslinger ability.\n\n[DECEA3]Repair requires repair kit (improved).[-],Armatura leggera\nUna versione migliorata dell'abito da Enforcer. I materiali eleganti e leggeri ti consentono di resistere a qualsiasi impatto. Aumenta la resistenza alle lesioni critiche. Ora puoi portarne di più.\n\nBonus set completo: disponibile [FF6666]Potenziamento arma da mischia[-] (installato nei guanti). Aumenta il danno dell'abilità Pistolero.\n\n[DECEA3]La riparazione richiede un kit di riparazione (migliorato).[-]
armorEnforcerGlovesImp,items,Clothes,,Enforcer Gloves [8692FF]Improved[-],Guanti Enforcer [8692FF]«Migliorati»[-]
armorEnforcerGlovesImpDesc,items,Clothes,,Light Armor\nAn improved version of the Enforcer Gloves. Gloves like these were worn back in the days of the Wild West. Increases reload speed for SMGs and pistols. You can install a boost to increase melee weapon attack speed.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt by the Gunslinger ability.\n\n[DECEA3]Repair requires repair kit (improved).[-],Armatura leggera\nUna versione migliorata dei Guanti Enforcer. Guanti come questi venivano indossati ai tempi del selvaggio West. Aumenta la velocità di ricarica per mitragliatrici e pistole. Puoi installare un potenziamento per aumentare la velocità di attacco dell'arma da mischia.\n\nBonus set completo: disponibile [FF6666]Potenziamento arma da mischia[-] (installato nei guanti). Aumenta il danno inflitto dall'abilità Pistolero.\n\n[DECEA3]La riparazione richiede un kit di riparazione (migliorato).[-]
armorEnforcerBootsImp,items,Clothes,,Enforcer Shoes [8692FF]Improved[-],Scarpe Enforcer [8692FF]«Migliorata»[-]
armorEnforcerBootsImpDesc,items,Clothes,,Light Armor\nAn improved version of the Enforcer Shoes.\nThese shoes will not soon become unusable. Increases stamina. It is much easier for you to maintain your balance during melee attacks.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases the damage of the Gunslinger ability.\n\n[DECEA3]Repair requires repair kit (improved).[-],Armatura leggera\nUna versione migliorata delle scarpe Enforcer.\nQueste scarpe non diventeranno presto inutilizzabili. Aumenta la resistenza. È molto più facile per te mantenere l'equilibrio durante gli attacchi corpo a corpo.\n\nBonus set completo: disponibile [FF6666]Potenziamento arma da mischia[-] (installato nei guanti). Aumenta il danno dell'abilità Pistolero.\n\n[DECEA3]La riparazione richiede un kit di riparazione (migliorato).[-]
buffEnforcerImpSetBonus,buffs,Buff,,[8692FF]Enforcer[-],[8692FF]Enforcer[-]
buffEnforcerImpSetBonusName,buffs,buff,,Armor Bonus,Bonus armatura
buffEnforcerImpSetBonusTooltip,buffs,buff,,You are affected by the improved Enforcer armor bonus.,Sei influenzato dal bonus migliorato dell'armatura dell'Enforcer.
buffEnforcerImpSetBonusDesc,buffs,Buff,,"You have equipped a full set of [8692FF]«Enforcer»[-] improved Armor\nSMG and pistol damage increased by [DECEA3]{cvar(.armorEnforcerImpFSBDisplay:0)}%[-]. When enhancing melee weapons: damage increased by [DECEA3]{cvar(.armorEnhancedDamageEnforcerImpFSBDisplay:0)}%[-], attack speed increased by [DECEA3]{cvar(.armorEnhancedSpeedEnforcerImpFSBDisplay:0)}%[-], stamina consumption reduced by [DECEA3]{cvar(.armorEnhancedStaminaEnforcerImpFSBDisplay:0)}%[-].","Hai equipaggiato un set completo di [8692FF]«Enforcer»[-] Armatura migliorata\nSMG e danno della pistola aumentato del [DECEA3]{cvar(.armorEnforcerImpFSBDisplay:0)}%[-]. Quando si potenziano le armi da mischia: danno aumentato del [DECEA3]{cvar(.armorEnhancedDamageEnforcerImpFSBDisplay:0)}%[-], velocità d'attacco aumentata del [DECEA3]{cvar(.armorEnhancedSpeedEnforcerImpFSBDisplay:0)}%[-], consumo di resistenza ridotto del [DECEA3]{cvar(.armorEnhancedStaminaEnforcerImpFSBDisplay:0)}%[-]."
armorRangerHelmetImp,items,Clothes,,Ranger Helmet [8692FF]Improved[-],Casco Ranger [8692FF]«Migliorato»[-]
armorRangerHelmetImpDesc,items,Clothes,,"Medium Armor\nImproved version of the Ranger Hat. Rangers are fierce negotiators, especially when wearing a well-made hat. Increases the profitability of trade deals. Now you are better trained in combat.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by ranged weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-]","Armatura media\nVersione migliorata del cappello da ranger. I ranger sono negoziatori feroci, soprattutto quando indossano un cappello ben fatto. Aumenta la redditività degli accordi commerciali. Ora sei più addestrato al combattimento.\n\n[DECEA3]Bonus set completo:[-]\n[FF6666]Potenziamento arma da mischia[-] disponibile (installato nei guanti). Aumenta i danni inflitti dalle armi a distanza.\n\n[DECEA3]La riparazione richiede un kit di riparazione (migliorato).[-]"
armorRangerOutfitImp,items,Clothes,,Ranger Outfit [8692FF]Improved[-],Costume da Ranger [8692FF]«Migliorato»[-]
armorRangerOutfitImpDesc,items,Clothes,,"Medium Armor\nAn improved version of the Ranger Outfit. Nature has taught strength not only of the spirit, but also of the body. Increases the number of health units, as well as your load capacity.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by ranged weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-]","Armatura media\nUna versione migliorata dell'abito da Ranger. La natura ha insegnato la forza non solo dello spirito, ma anche del corpo. Aumenta il numero di unità sanitarie e la capacità di carico.\n\n[DECEA3]Bonus set completo:[-]\n[FF6666]Potenziamento arma da mischia[-] disponibile (installato nei guanti). Aumenta i danni inflitti dalle armi a distanza.\n\n[DECEA3]La riparazione richiede un kit di riparazione (migliorato).[-]"
armorRangerGlovesImp,items,Clothes,,Ranger Gloves [8692FF]Improved[-],Guanti Ranger [8692FF]«Migliorati»[-]
armorRangerGlovesImpDesc,items,Clothes,,Medium Armor\nImproved version of the Ranger's Gloves. These comfortable gloves allow you to quickly handle any weapon. Increases weapon reload speed. You can install a boost to increase the attack speed of melee weapons.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by ranged weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],Armatura media\nVersione migliorata dei Guanti del Ranger. Questi comodi guanti ti permettono di maneggiare rapidamente qualsiasi arma. Aumenta la velocità di ricarica dell'arma. Puoi installare un potenziamento per aumentare la velocità di attacco delle armi da mischia.\n\n[DECEA3]Bonus set completo:[-]\n[FF6666]Potenziamento arma da mischia[-] disponibile (installato nei guanti). Aumenta i danni inflitti dalle armi a distanza.\n\n[DECEA3]La riparazione richiede un kit di riparazione (migliorato).[-]
armorRangerBootsImp,items,Clothes,,Ranger Boots [8692FF]Improved[-],Stivali Ranger [8692FF]«Migliorato»[-]
armorRangerBootsImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Ranger's Boots. Stamina is the key to successful survival in the wilderness. Increases your stamina. It is much easier for you to maintain your balance during melee attacks.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by ranged weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],Armatura media\nUna versione migliorata degli Stivali del Ranger. La resistenza è la chiave per sopravvivere con successo nella natura selvaggia. Aumenta la tua resistenza. È molto più facile per te mantenere l'equilibrio durante gli attacchi corpo a corpo.\n\n[DECEA3]Bonus set completo:[-]\n[FF6666]Potenziamento arma corpo a corpo[-] disponibile (installato nei guanti). Aumenta i danni inflitti dalle armi a distanza.\n\n[DECEA3]La riparazione richiede un kit di riparazione (migliorato).[-]
buffRangerImpSetBonus,buffs,Buff,,[8692FF]Ranger[-],[8692FF]Ranger[-]
buffRangerImpSetBonusName,buffs,buff,,Armor Bonus,Bonus armatura
buffRangerImpSetBonusTooltip,buffs,buff,,You are affected by the improved Ranger armor bonus.,Sei influenzato dal bonus migliorato dell'armatura del Ranger.
buffRangerImpSetBonusDesc,buffs,Buff,,"You have equipped a full set of [8692FF]«Ranger»[-] improved Armor\nRanged weapon damage increased by [DECEA3]{cvar(.armorRangerImpFSBDisplay:0)}%[-]. When enhancing melee weapons: damage increased by [DECEA3]{cvar(.armorEnhancedDamageRangerImpFSBDisplay:0)}%[-], attack speed increased by [DECEA3]{cvar(.armorEnhancedSpeedRangerImpFSBDisplay:0)}%[-], stamina consumption reduced by [DECEA3]{cvar(.armorEnhancedStaminaRangerImpFSBDisplay:0)}%[-].","Hai equipaggiato un set completo di [8692FF]«Ranger»[-] Armatura migliorata\nDanni dell'arma a distanza aumentati di [DECEA3]{cvar(.armorRangerImpFSBDisplay:0)}%[-]. Quando si potenziano le armi da mischia: danno aumentato del [DECEA3]{cvar(.armorEnhancedDamageRangerImpFSBDisplay:0)}%[-], velocità d'attacco aumentata del [DECEA3]{cvar(.armorEnhancedSpeedRangerImpFSBDisplay:0)}%[-], consumo di resistenza ridotto del [DECEA3]{cvar(.armorEnhancedStaminaRangerImpFSBDisplay:0)}%[-]."
armorCommandoHelmetImp,items,Clothes,,Commando Helmet [8692FF]Improved[-],Casco Commando [8692FF]«Migliorato»[-]
armorCommandoHelmetImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Special Forces Helmet. Health regeneration rate has been increased. You are now better trained in combat.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by automatic weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],Armatura media\nUna versione migliorata dell'elmo delle forze speciali. Il tasso di rigenerazione della salute è stato aumentato. Ora sei più addestrato al combattimento.\n\n[DECEA3]Bonus set completo:[-]\n[FF6666]Potenziamento arma da mischia[-] disponibile (installato nei guanti). Aumenta i danni inflitti dalle armi automatiche.\n\n[DECEA3]La riparazione richiede un kit di riparazione (migliorato).[-]
armorCommandoOutfitImp,items,Clothes,,Commando Outfit [8692FF]Improved[-],Costume da commando [8692FF]«Migliorato»[-]
armorCommandoOutfitImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Special Forces uniform. True Special Forces can take any hit without flinching. Faster recovery from critical injuries.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by automatic weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],Armatura media\nUna versione migliorata dell'uniforme delle forze speciali. Le vere forze speciali possono sopportare qualsiasi colpo senza batter ciglio. Recupero più rapido da lesioni gravi.\n\n[DECEA3]Bonus set completo:[-]\n[FF6666]Potenziamento arma da mischia[-] disponibile (installato nei guanti). Aumenta i danni inflitti dalle armi automatiche.\n\n[DECEA3]La riparazione richiede un kit di riparazione (migliorato).[-]
armorCommandoGlovesImp,items,Clothes,,Commando Gloves [8692FF]Improved[-],Guanti Commando [8692FF]«Migliorato»[-]
armorCommandoGlovesImpDesc,items,Clothes,,"Medium Armor\nAn improved version of the Commando Gloves. A good marksman can easily disassemble and reassemble his weapon, and the reloading process has been perfected. You can install a boost to increase the attack speed of melee weapons.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by automatic weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-]","Armatura media\nUna versione migliorata dei Guanti Commando. Un buon tiratore può facilmente smontare e rimontare la sua arma, e il processo di ricarica è stato perfezionato. Puoi installare un potenziamento per aumentare la velocità di attacco delle armi da mischia.\n\n[DECEA3]Bonus set completo:[-]\n[FF6666]Potenziamento arma da mischia[-] disponibile (installato nei guanti). Aumenta i danni inflitti dalle armi automatiche.\n\n[DECEA3]La riparazione richiede un kit di riparazione (migliorato).[-]"
armorCommandoBootsImp,items,Clothes,,Commando Boots [8692FF]Improved[-],Stivali Commando [8692FF]«Migliorato»[-]
armorCommandoBootsImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Special Forces boots. These boots are suitable for the most difficult obstacle course. Increases the safe fall height. It is much easier for you to maintain your balance during melee attacks.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by automatic weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],Armatura media\nUna versione migliorata degli stivali delle forze speciali. Questi stivali sono adatti per i percorsi a ostacoli più difficili. Aumenta l'altezza di caduta sicura. È molto più facile per te mantenere l'equilibrio durante gli attacchi corpo a corpo.\n\n[DECEA3]Bonus set completo:[-]\n[FF6666]Potenziamento arma corpo a corpo[-] disponibile (installato nei guanti). Aumenta i danni inflitti dalle armi automatiche.\n\n[DECEA3]La riparazione richiede un kit di riparazione (migliorato).[-]
buffCommandoImpSetBonus,buffs,Buff,,[8692FF]Commando[-],[8692FF]Comando[-]
buffCommandoImpSetBonusName,buffs,buff,,Armor Bonus,Bonus armatura
buffCommandoImpSetBonusTooltip,buffs,buff,,You are affected by the improved Commando armor bonus.,Sei influenzato dal bonus armatura Commando migliorato.
buffCommandoImpSetBonusDesc,buffs,Buff,,"You have equipped a full set of [8692FF]«Commando»[-] improved Armor\nAutomatic weapon damage increased by [DECEA3]{cvar(.armorCommandoImpFSBDisplay:0)}%[-]. When enhancing melee weapons: damage increased by [DECEA3]{cvar(.armorEnhancedDamageCommandoImpFSBDisplay:0)}%[-], attack speed increased by [DECEA3]{cvar(.armorEnhancedSpeedCommandoImpFSBDisplay:0)}%[-], stamina consumption reduced by [DECEA3]{cvar(.armorEnhancedStaminaCommandoImpFSBDisplay:0)}%[-].","Hai equipaggiato un set completo di [8692FF]«Commando»[-] Armatura migliorata\nDanno automatico dell'arma aumentato del [DECEA3]{cvar(.armorCommandoImpFSBDisplay:0)}%[-]. Quando si potenziano le armi da mischia: danno aumentato del [DECEA3]{cvar(.armorEnhancedDamageCommandoImpFSBDisplay:0)}%[-], velocità d'attacco aumentata del [DECEA3]{cvar(.armorEnhancedSpeedCommandoImpFSBDisplay:0)}%[-], consumo di resistenza ridotto del [DECEA3]{cvar(.armorEnhancedStaminaCommandoImpFSBDisplay:0)}%[-]."
armorAssassinHelmetImp,items,Clothes,,Assassin Helmet [8692FF]Improved[-],Casco dell'assassino [8692FF]«Migliorato»[-]
armorAssassinHelmetImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Assassin Hood. They won't even notice. Increases damage while stealthed. Now you are better trained in combat.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by sniper rifles.\n\n[DECEA3]Repair requires repair kit (improved).[-],Armatura media\nUna versione migliorata del cappuccio dell'Assassino. Non se ne accorgeranno nemmeno. Aumenta il danno mentre sei nascosto. Ora sei più addestrato al combattimento.\n\n[DECEA3]Bonus set completo:[-]\n[FF6666]Potenziamento arma da mischia[-] disponibile (installato nei guanti). Aumenta il danno inflitto dai fucili di precisione.\n\n[DECEA3]La riparazione richiede un kit di riparazione (migliorato).[-]
armorAssassinOutfitImp,items,Clothes,,Assassin Outfit [8692FF]Improved[-],Costume da Assassino [8692FF]«Migliorato»[-]
armorAssassinOutfitImpDesc,items,Clothes,,"Medium Armor\nAn improved version of the Assassin Outfit. Be unseen, unheard, and unharmed. Increases your effectiveness while in stealth mode and your carrying capacity.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by sniper rifles.\n\n[DECEA3]Repair requires repair kit (improved).[-]","Armatura media\nUna versione migliorata dell'abito da Assassino. Sii invisibile, inascoltato e illeso. Aumenta la tua efficacia in modalità invisibile e la tua capacità di trasporto.\n\n[DECEA3]Bonus set completo:[-]\n[FF6666]Potenziamento arma da mischia[-] disponibile (installato nei guanti). Aumenta il danno inflitto dai fucili di precisione.\n\n[DECEA3]La riparazione richiede un kit di riparazione (migliorato).[-]"
armorAssassinGlovesImp,items,Clothes,,Assassin Gloves [8692FF]Improved[-],Guanti da Assassino [8692FF]«Migliorato»[-]
