Key,File,Type,UsedInMainMenu,english,schinese
AECSheriffBossLootBagT12,entityclasses,Entity,false,Sheriff Boss Loot Bag T12,警长首领战利品袋 T12
AECSheriffBossLootBagT15,entityclasses,Entity,false,Sheriff Boss Loot Bag T15,警长首领战利品袋 T15
AECSheriffMinionLootBagT03,entityclasses,Entity,false,Sheriff Minion Loot Bag T03,警长仆从战利品袋 T03
AECSheriffMinionLootBagT06,entityclasses,Entity,false,Sheriff Minion Loot Bag T06,警长仆从战利品袋 T06
AECSheriffMinionLootBagT09,entityclasses,Entity,false,Sheriff Minion Loot Bag T09,警长仆从战利品袋 T09
AECSheriffMinionLootBagT12,entityclasses,Entity,false,Sheriff Minion Loot Bag T12,警长仆从战利品袋 T12
AECSheriffMinionLootBagT15,entityclasses,Entity,false,Sheriff Minion Loot Bag T15,警长仆从战利品袋 T15
buffAECSheriffPlayerAura,buffs,Buff,false,Sheriff's Aura,警长's 威压光环
buffAECSheriffPlayerAuraDesc,buffs,Buff,false,The Sheriff's presence drains your stamina.,警长的威压会持续消耗你的耐力。
Doomlord,entityclasses,Entity,false,Doomlord,末日领主
DoomlordDemolishman,entityclasses,Entity,false,Doomlord Demolishman,末日领主爆破者
AECDoomlordDemolishmanBoss,entityclasses,Entity,false,Doomlord Demolishman Boss,末日领主爆破者首领
AECDoomlordDemolishmanMinion,entityclasses,Entity,false,Doomlord Minion,末日领主仆从
AECDemolishmanMinion01,entityclasses,Entity,false,Doomlord Minion01 Grenadier,末日领主仆从01 掷弹兵
AECDemolishmanMinion02,entityclasses,Entity,false,Doomlord Minion02 Rocket,末日领主仆从02 火箭兵
AECDemolishmanMinion03,entityclasses,Entity,false,Doomlord Minion03 Pistol,末日领主仆从03 手枪兵
AECDemolishmanMinion04,entityclasses,Entity,false,Doomlord Minion04 Shotgun,末日领主仆从04 霰弹枪兵
AECDemolishmanMinion05,entityclasses,Entity,false,Doomlord Minion05 Sniper,末日领主仆从05 狙击手
AECDemolishmanMinion06,entityclasses,Entity,false,Doomlord Minion06 Magnum,末日领主仆从06 马格南枪手
AECDemolishmanMinion07,entityclasses,Entity,false,Doomlord Minion07 Knife,末日领主仆从07 刀手
DoomlordBossLootBag,entityclasses,Entity,false,Doomlord Boss Loot Bag,末日领主首领战利品袋
DoomlordMinion01LootBag,entityclasses,Entity,false,Doomlord Grenadier Loot Bag,末日领主掷弹兵战利品袋
DoomlordMinion02LootBag,entityclasses,Entity,false,Doomlord Rocket Loot Bag,末日领主火箭兵战利品袋
DoomlordMinion03LootBag,entityclasses,Entity,false,Doomlord Pistol Loot Bag,末日领主手枪兵战利品袋
DoomlordMinion04LootBag,entityclasses,Entity,false,Doomlord Shotgun Loot Bag,末日领主霰弹枪兵战利品袋
DoomlordMinion05LootBag,entityclasses,Entity,false,Doomlord Sniper Loot Bag,末日领主狙击手战利品袋
DoomlordMinion06LootBag,entityclasses,Entity,false,Doomlord Magnum Loot Bag,末日领主马格南枪手战利品袋
DoomlordMinion07LootBag,entityclasses,Entity,false,Doomlord Knife Loot Bag,末日领主刀手战利品袋
DoomlordMinionBaseLootBag,entityclasses,Entity,false,Doomlord Minion Loot Bag,末日领主仆从战利品袋
questAECDoomlordHordeMinion_name,quests,,false,[FF4500]Doomlord Minion Horde[-],[FF4500]末日领主仆从尸群[-]
questAECDoomlordHordeMinion_subtitle,quests,,false,Doomlord T3 Horde,末日领主 T3 尸群
questAECDoomlordHordeMinion_description,quests,,false,"Activate the rally, place the lure, then wipe out five waves of Doomlord base minions.",激活集结点并放置诱饵，抵御5波敌方部队。
questAECDoomlordHordeMinion_offer,quests,,false,"Reports of Doomlord minions massing in the area. Trigger the rally, drop the lure, and brace for five waves.",激活集结点并放置诱饵，抵御5波敌方部队。
questAECDoomlordHordeMinion_statement,quests,,false,Wipe out all five waves of Doomlord minions.,激活集结点并放置诱饵，抵御5波敌方部队。
questAECDoomlordHordeMinion_response,quests,,false,AEC HORDE - [FF4500]Doomlord Minion Horde[-],AEC 尸群 - [FF4500]末日领主仆从尸群[-]
questAECDoomlordHordeMinion_completion,quests,,false,Good work. Five waves down. Here's your reward.,契约完成，敌方威胁已经清除。领取你的报酬。
itemAECDoomlordContract_Minion,,,false,[00E5FF]AEC Hazard 3 |[-] [FFD700]Doomlord Contract | Minion Horde[-],[00E5FF]AEC 危险度 3 |[-] [FFD700]末日领主契约 | 仆从尸群[-]
itemAECDoomlordContract_Minion_desc,,,false,Contract: Eliminate five waves of Doomlord base minions.,契约：消灭五波末日领主基础仆从。
eventAECDoomlordArrival_Minion_msg,,,false,Doomlord minions are closing in — get ready!,末日领主的仆从正在逼近——做好准备！
questAECDoomlordHordeGrenadier_name,quests,,false,[FF4500]Grenadier Horde[-],[FF4500]掷弹兵尸群[-]
questAECDoomlordHordeGrenadier_subtitle,quests,,false,Doomlord T3 Horde,末日领主 T3 尸群
questAECDoomlordHordeGrenadier_description,quests,,false,"Activate the rally, place the signal lure, then eliminate five waves of Doomlord Grenadiers.",激活集结点并放置诱饵，抵御5波敌方部队。
questAECDoomlordHordeGrenadier_offer,quests,,false,"Intel says Doomlord is sending Grenadier squads your way. Activate the rally, place the signal lure, then hold for five waves. Think you can handle that?",激活集结点并放置诱饵，抵御5波敌方部队。
questAECDoomlordHordeGrenadier_statement,quests,,false,I'll arm the signal lure and wipe out all five Grenadier waves.,激活集结点并放置诱饵，抵御5波敌方部队。
questAECDoomlordHordeGrenadier_response,quests,,false,AEC HORDE - [FF4500]Grenadier Horde[-],AEC 尸群 - [FF4500]掷弹兵尸群[-]
questAECDoomlordHordeGrenadier_completion,quests,,false,Not bad. Those Grenadiers won't be throwing any more surprises.,契约完成，敌方威胁已经清除。领取你的报酬。
aecQuestSignalLure,blocks,Block,false,AEC Signal Lure,AEC信号诱饵
aecQuestSignalLureDesc,blocks,Block Desc,false,Quest item. Place this lure after activating the rally point to draw the enemy waves to your position.,任务物品。激活集结点后放置该诱饵，将一波敌人引到你的位置。
aecQuestAllInOneLure,blocks,Block,false,All-In-One Lure,全能诱饵
aecQuestAllInOneLureDesc,blocks,Block Desc,false,Quest item. Place this reinforced lure to trigger The All-In-One Hunt and pull every marked boss pair onto your position.,任务物品。放置这个强化诱饵可触发“全能猎杀”，并将所有标记的首领组合引到你的位置。
aecQuestRelay,blocks,Block,false,[FFD700]AEC[-] Contract Relay,[FFD700]AEC[-] 契约 Relay
aecQuestRelayDesc,blocks,Block Desc,false,A salvaged radio converted into an AEC contract terminal. Use it to summon the Huntmaster and access AEC-only contracts.,由废旧无线电改装而成的AEC契约终端。可用于召唤猎杀大师并接取AEC专属契约。
aecPortableAmmoWorkshop,blocks,Block,false,[00E5FF]AEC[-] Portable Ammo Workshop,[00E5FF]AEC[-] Portable 弹药 Workshop
aecPortableAmmoWorkshopDesc,blocks,Block Desc,false,"Portable AEC ammo bench with a table saw shell. Place it, craft unlocked workbench munitions.",使用台锯外壳制作的便携式AEC弹药台。放置后可制造已解锁的工作台弹药。
dialogAECQuestGiverStart,dialogs,,false,State your echelon. I only handle AEC contracts.,报上你要挑战的梯队。我这里只处理AEC契约。
dialogAECQuestGiverQuest,dialogs,,false,Show me the AEC contracts.,让我看看AEC契约。
dialogAECQuestGiverQuestTier1,dialogs,,false,Show me the Tier 1 AEC contracts.,让我看看等级 1 的 AEC 契约。
dialogAECQuestGiverQuestTier2,dialogs,,false,Show me the Tier 2 AEC contracts.,让我看看等级 2 的 AEC 契约。
dialogAECQuestGiverQuestTier3,dialogs,,false,Show me the Tier 3 AEC contracts.,让我看看等级 3 的 AEC 契约。
dialogAECQuestGiverQuestTier4,dialogs,,false,Show me the Tier 4 AEC contracts.,让我看看等级 4 的 AEC 契约。
dialogAECQuestGiverQuestTier5,dialogs,,false,Show me the Tier 5 AEC contracts.,让我看看等级 5 的 AEC 契约。
dialogAECQuestGiverQuestTier6,dialogs,,false,Show me the Tier 6 AEC contracts.,让我看看等级 6 的 AEC 契约。
dialogAECQuestGiverQuestList,dialogs,,false,Pick your echelon. The deepest page also carries the legendary contracts.,选择你要挑战的梯队。最深层页面还会提供传奇契约。
dialogAECQuestGiverQuestInProgress,dialogs,,false,I'm already on a contract.,我已经接取了一份契约。
dialogAECQuestGiverQuestInProgressNext,dialogs,,false,Then finish it and come back. I do not stack AEC work.,先完成它再回来。AEC契约不能同时叠加进行。
dialogAECQuestGiverDisableQuesting,dialogs,,false,No contracts right now.,目前没有可接取的契约。
dialogAECQuestGiverDisableQuestingNext,dialogs,,false,Questing is currently blocked for you. Clear that first.,你当前无法接取任务，请先解除现有的任务限制。
AECQuestGiverNPC,entityclasses,Entity,false,AEC Huntmaster,AEC 狩猎大师
questAECDoomlordHordeRocket_name,quests,,false,[FF4500]Rocket Corps[-],[FF4500]火箭兵军团[-]
questAECDoomlordHordeRocket_subtitle,quests,,false,Doomlord T3 Horde,末日领主 T3 尸群
questAECDoomlordHordeRocket_description,quests,,false,"Activate the rally, place the lure, then break five Doomlord Rocket waves. Stay spread out.",激活集结点并放置诱饵，抵御5波敌方部队。
questAECDoomlordHordeRocket_offer,quests,,false,"Rocket troops incoming. Trigger the rally, drop the lure, and prepare for five brutal waves. Do not cluster.",激活集结点并放置诱饵，抵御5波敌方部队。
questAECDoomlordHordeRocket_statement,quests,,false,and neutralize the Rocket Corps.,激活集结点并放置诱饵，抵御敌方部队。
questAECDoomlordHordeRocket_response,quests,,false,AEC HORDE - [FF4500]Rocket Corps[-],AEC 尸群 - [FF4500]火箭兵军团[-]
questAECDoomlordHordeRocket_completion,quests,,false,Good job. Fewer targets but that blast radius doesn't mess around.,契约完成，敌方威胁已经清除。领取你的报酬。
questAECDoomlordHordePistol_name,quests,,false,[FF4500]Pistol Squad[-],[FF4500]手枪兵小队[-]
questAECDoomlordHordePistol_subtitle,quests,,false,Doomlord T3 Horde,末日领主 T3 尸群
questAECDoomlordHordePistol_description,quests,,false,"Activate the rally, place the lure, then clear five waves of Doomlord Pistol troopers. Fast and numerous.",激活集结点并放置诱饵，抵御5波敌方部队。
questAECDoomlordHordePistol_offer,quests,,false,"Pistol squads are deploying in your sector. Trigger the rally, set the lure, and survive five waves.",激活集结点并放置诱饵，抵御5波敌方部队。
questAECDoomlordHordePistol_statement,quests,,false,"Go in, activate the rally, place the lure, and clear all five Pistol waves.",激活集结点并放置诱饵，抵御5波敌方部队。
questAECDoomlordHordePistol_response,quests,,false,AEC HORDE - [FF4500]Pistol Squad[-],AEC 尸群 - [FF4500]手枪兵小队[-]
questAECDoomlordHordePistol_completion,quests,,false,Pistol squad neutralized. Nice work.,契约完成，敌方威胁已经清除。领取你的报酬。
questAECDoomlordHordeShotgun_name,quests,,false,[FF4500]Shotgun Rush[-],[FF4500]霰弹枪兵突击[-]
questAECDoomlordHordeShotgun_subtitle,quests,,false,Doomlord T3 Defense,末日领主 T3 防守
questAECDoomlordHordeShotgun_description,quests,,false,"Clear the POI first, then hold against three waves of Doomlord Shotgun troopers.",先清除兴趣点内的敌人，抵御3波敌方部队。
questAECDoomlordHordeShotgun_offer,quests,,false,Shotgun rush is inbound at a local site. Defend the position across three waves.,先清除兴趣点内的敌人，抵御3波敌方部队。
questAECDoomlordHordeShotgun_statement,quests,,false,Get to the site and hold against the Shotgun rush.,先清除兴趣点内的敌人，抵御敌方部队。
questAECDoomlordHordeShotgun_response,quests,,false,AEC HORDE ([DECEA3]{poi.distance} {poi.direction}[-]) [FF9900]{poi.name}[-],AEC尸潮（[DECEA3]{poi.distance} {poi.direction}[-]）[FF9900]{poi.name}[-]
questAECDoomlordHordeShotgun_completion,quests,,false,The rush is over. Excellent defense.,契约完成，敌方威胁已经清除。领取你的报酬。
questAECDoomlordHordeSniper_name,quests,,false,[FF4500]Sniper Nest[-],[FF4500]狙击手狙击阵地[-]
questAECDoomlordHordeSniper_subtitle,quests,,false,Doomlord T3 Horde,末日领主 T3 尸群
questAECDoomlordHordeSniper_description,quests,,false,"Activate the rally, place the lure, then clear five waves of Doomlord Snipers. Stay mobile and end them.",激活集结点并放置诱饵，抵御5波敌方部队。
questAECDoomlordHordeSniper_offer,quests,,false,"High-value snipers are digging in. Trigger the rally, set the lure, and clear five waves before they lock down the area.",激活集结点并放置诱饵，抵御5波敌方部队。
questAECDoomlordHordeSniper_statement,quests,,false,"Move in, activate the rally, place the lure, and clear the Sniper Nest across five waves.",激活集结点并放置诱饵，抵御5波敌方部队。
questAECDoomlordHordeSniper_response,quests,,false,AEC HORDE - [FF4500]Sniper Nest[-],AEC 尸群 - [FF4500]狙击手狙击阵地[-]
questAECDoomlordHordeSniper_completion,quests,,false,Nest cleared. Good work staying on the move.,契约完成，敌方威胁已经清除。领取你的报酬。
questAECDoomlordHordeMagnum_name,quests,,false,[FF4500]Magnum Guard[-],[FF4500]马格南枪手守卫队[-]
questAECDoomlordHordeMagnum_subtitle,quests,,false,Doomlord T3 Defense,末日领主 T3 防守
questAECDoomlordHordeMagnum_description,quests,,false,"Clear the POI first, then hold against three waves of Doomlord Magnum Guards.",先清除兴趣点内的敌人，抵御3波敌方部队。
questAECDoomlordHordeMagnum_offer,quests,,false,Magnum Guard deploying on a site. Three tough waves — hold your ground.,先清除兴趣点内的敌人，抵御3波敌方部队。
questAECDoomlordHordeMagnum_statement,quests,,false,Defend the site against three Magnum Guard waves.,先清除兴趣点内的敌人，抵御3波敌方部队。
questAECDoomlordHordeMagnum_response,quests,,false,AEC HORDE ([DECEA3]{poi.distance} {poi.direction}[-]) [FF9900]{poi.name}[-],AEC尸潮（[DECEA3]{poi.distance} {poi.direction}[-]）[FF9900]{poi.name}[-]
questAECDoomlordHordeMagnum_completion,quests,,false,Magnum Guard repelled. Well held.,契约完成，敌方威胁已经清除。领取你的报酬。
questAECDoomlordHordeKnife_name,quests,,false,[FF4500]Knife Runners[-],[FF4500]刀手奔跑者s[-]
questAECDoomlordHordeKnife_subtitle,quests,,false,Doomlord T3 Defense,末日领主 T3 防守
questAECDoomlordHordeKnife_description,quests,,false,"Clear the POI first, then hold against three waves of Doomlord Knife Runners.",先清除兴趣点内的敌人，抵御3波敌方部队。
questAECDoomlordHordeKnife_offer,quests,,false,Knife runners inbound at a local site. Three waves of close-quarters maniacs.,先清除兴趣点内的敌人，抵御3波敌方部队。
questAECDoomlordHordeKnife_statement,quests,,false,Defend the site against three waves of Knife Runners.,先清除兴趣点内的敌人，抵御3波敌方部队。
questAECDoomlordHordeKnife_response,quests,,false,AEC HORDE ([DECEA3]{poi.distance} {poi.direction}[-]) [FF9900]{poi.name}[-],AEC尸潮（[DECEA3]{poi.distance} {poi.direction}[-]）[FF9900]{poi.name}[-]
questAECDoomlordHordeKnife_completion,quests,,false,Not a scratch. Those runners never had a chance.,契约完成，敌方威胁已经清除。领取你的报酬。
questAECDoomlordHordeDemo_name,quests,,false,[FFAA00]Demo Squad[-],敌方尸潮
questAECDoomlordHordeDemo_subtitle,quests,,false,Doomlord T4 Mixed Horde,末日领主 T4 混合尸群
questAECDoomlordHordeDemo_description,quests,,false,"Activate the rally, place the lure, then survive five mixed waves of Grenadiers and Rockets. Every single target is lethal.",激活集结点并放置诱饵，抵御5波混合部队。
questAECDoomlordHordeDemo_offer,quests,,false,"Demo squad deployment. Trigger the rally, drop the lure, and brace for mixed grenades and rockets. Keep your distance.",激活集结点并放置诱饵，抵御混合部队。
questAECDoomlordHordeDemo_statement,quests,,false,"Activate the rally, place the lure, and neutralize the Demo Squad across five waves.",激活集结点并放置诱饵，抵御5波敌方部队。
questAECDoomlordHordeDemo_response,quests,,false,AEC HORDE - [FFAA00]Demo Squad[-],AEC 尸群 - [FFAA00]爆破小队[-]
questAECDoomlordHordeDemo_completion,quests,,false,Demo squad eliminated. Still got all your fingers?,契约完成，敌方威胁已经清除。领取你的报酬。
questAECDoomlordHordeFrontline_name,quests,,false,[FFAA00]Frontline Assault[-],敌方尸潮
questAECDoomlordHordeFrontline_subtitle,quests,,false,Doomlord T4 Defense,末日领主 T4 防守
questAECDoomlordHordeFrontline_description,quests,,false,"Clear the POI first, then hold against three frontline waves of Doomlord Shotgun and Knife troops.",先清除兴趣点内的敌人，抵御3波敌方部队。
questAECDoomlordHordeFrontline_offer,quests,,false,Close-range assault: Shotguns and Knives together. The site won't last long without you.,先清除兴趣点内的敌人，抵御敌方部队。
questAECDoomlordHordeFrontline_statement,quests,,false,Hold the site against three Frontline Assault waves.,先清除兴趣点内的敌人，抵御3波敌方部队。
questAECDoomlordHordeFrontline_response,quests,,false,AEC HORDE ([DECEA3]{poi.distance} {poi.direction}[-]) [FF9900]{poi.name}[-],AEC尸潮（[DECEA3]{poi.distance} {poi.direction}[-]）[FF9900]{poi.name}[-]
questAECDoomlordHordeFrontline_completion,quests,,false,Frontline repelled. Brutal fighting. Well done.,契约完成，敌方威胁已经清除。领取你的报酬。
questAECDoomlordHordeOverwatch_name,quests,,false,[FFAA00]Overwatch[-],敌方尸潮
questAECDoomlordHordeOverwatch_subtitle,quests,,false,Doomlord T4 Mixed Horde,末日领主 T4 混合尸群
questAECDoomlordHordeOverwatch_description,quests,,false,"Activate the rally, place the lure, then dismantle five waves of Snipers and Magnums in Overwatch formation.",激活集结点并放置诱饵，抵御5波敌方部队。
questAECDoomlordHordeOverwatch_offer,quests,,false,"Overwatch team spotted. Trigger the rally, set the lure, and watch your sight lines through five waves.",激活集结点并放置诱饵，抵御5波敌方部队。
questAECDoomlordHordeOverwatch_statement,quests,,false,"Activate the rally, place the lure, and dismantle the Overwatch formation across five waves.",激活集结点并放置诱饵，抵御5波敌方部队。
questAECDoomlordHordeOverwatch_response,quests,,false,AEC HORDE - [FFAA00]Overwatch[-],AEC 尸群 - [FFAA00]监视火力[-]
questAECDoomlordHordeOverwatch_completion,quests,,false,Overwatch neutralized. Outstanding target acquisition.,契约完成，敌方威胁已经清除。领取你的报酬。
questAECDoomlordHordeFireTeam_name,quests,,false,[FFAA00]Fire Team[-],敌方尸潮
questAECDoomlordHordeFireTeam_subtitle,quests,,false,Doomlord T4 Mixed Horde,末日领主 T4 混合尸群
questAECDoomlordHordeFireTeam_description,quests,,false,"Activate the rally, place the lure, then eliminate five waves of Pistols and Magnums operating as a coordinated fire team.",激活集结点并放置诱饵，抵御5波敌方部队。
questAECDoomlordHordeFireTeam_offer,quests,,false,"Fire team inbound. Trigger the rally, drop the lure, and hold through five waves of coordinated pressure.",激活集结点并放置诱饵，抵御5波敌方部队。
questAECDoomlordHordeFireTeam_statement,quests,,false,"Activate the rally, place the lure, and eliminate the Fire Team across five waves.",激活集结点并放置诱饵，抵御5波敌方部队。
questAECDoomlordHordeFireTeam_response,quests,,false,AEC HORDE - [FFAA00]Fire Team[-],AEC 尸群 - [FFAA00]火力小组[-]
questAECDoomlordHordeFireTeam_completion,quests,,false,Fire Team down. Clean execution.,契约完成，敌方威胁已经清除。领取你的报酬。
questAECDoomlordHunt_name,quests,,false,[FF0000]HUNT: The Doomlord[-],[FF0000]猎杀： 末日领主[-]
questAECDoomlordHunt_subtitle,quests,,false,Doomlord T5 Boss Hunt,末日领主 T5 首领猎杀
questAECDoomlordHunt_description,quests,,false,"Activate the rally, place the lure, survive six mixed waves of Doomlord elites, then face Demolishman himself.",激活集结点并放置诱饵，抵御6波混合部队，再击杀混合首领。
questAECDoomlordHunt_offer,quests,,false,"Big contract. Trigger the rally, set the lure, survive six mixed elite troops, then face Demolishman yourself.",激活集结点并放置诱饵，抵御混合部队，再击杀混合首领。
questAECDoomlordHunt_statement,quests,,false,"survive six waves, then kill Demolishman himself.",抵御六波敌人，然后击杀爆破者本体。
questAECDoomlordHunt_response,quests,,false,AEC BOSS FIGHT - [FF0000]HUNT: The Doomlord[-],AEC 首领战斗 - [FF0000]猎杀： 末日领主[-]
questAECDoomlordHunt_completion,quests,,false,Impressive. Demolishman is dead. The Doomlord era is over.,干得漂亮，爆破者已经死亡，末日领主的时代结束了。
questAECDoomlordHunt_obj_wave1,quests,,false,Wave 1: Survive 45 seconds,第 1 波：坚持 45 秒
questAECDoomlordHunt_obj_wave2,quests,,false,Wave 2: Survive 45 seconds,第 2 波：坚持 45 秒
questAECDoomlordHunt_obj_wave3,quests,,false,Wave 3: Survive 45 seconds,第 3 波：坚持 45 秒
questAECDoomlordHunt_obj_wave4,quests,,false,Wave 4: Survive 45 seconds,第 4 波：坚持 45 秒
questAECDoomlordHunt_obj_wave5,quests,,false,Wave 5: Survive 45 seconds,第 5 波：坚持 45 秒
questAECDoomlordHunt_obj_wave6,quests,,false,Wave 6: Survive 45 seconds,第 6 波：坚持 45 秒
questAECDoomlordHunt_obj_kill,quests,,false,Kill the Doomlord: Demolishman,击杀末日领主: 爆破者
questAECWaveChallenge_name,quests,,false,[00E5FF]100 Waves Challenge[-],[00E5FF]100 波s 挑战[-]
questAECWaveChallenge_subtitle,quests,,false,AEC Endurance Contract,AEC 耐力挑战契约
questAECWaveChallenge_description,quests,,false,"Deploy the signal lure, lock down the area, and survive all 100 assault waves. Standard waves advance every 30 seconds. Every fifth wave becomes a 2 minute hold before the next assault begins.",激活集结点并放置诱饵，抵御100波敌方部队。
questAECWaveChallenge_offer,quests,,false,"AEC has stabilized this endurance trial into a formal contract. Place the lure, survive each wave, and hold the line through every fifth-wave lockdown.",激活集结点并放置诱饵，抵御敌方部队。
questAECWaveChallenge_statement,quests,,false,"I'll deploy the lure, survive all 100 timed waves, and finish the endurance contract cleanly.",激活集结点并放置诱饵，抵御100波敌方部队。
questAECWaveChallenge_response,quests,,false,AEC CONTRACT - [00E5FF]100 WAVE ENDURANCE[-],AEC 契约 - [00E5FF]100波耐力挑战[-]
questAECWaveChallenge_completion,quests,,false,Endurance contract complete. All 100 waves cleared.,契约完成，敌方威胁已经清除。领取你的报酬。
buffAECWaveChallengeNextWave,,,false,Next challenge wave,下一波挑战
buffAECWaveChallengeNextWaveDesc,,,false,The next wave will arrive when this countdown ends.,倒计时结束后，下一波敌人将会抵达。
questAECDoomlordSiege_name,quests,,false,[FF0000]SIEGE: The Doomlord[-],[FF0000]围攻： 末日领主[-]
questAECDoomlordSiege_subtitle,quests,,false,Doomlord T5 Boss Siege,末日领主 T5 首领围攻
questAECDoomlordSiege_description,quests,,false,"Clear the POI first, then survive four waves of Doomlord elites and kill Demolishman when he arrives.",先清除兴趣点内的敌人，抵御4波敌方部队。
questAECDoomlordSiege_offer,quests,,false,Demolishman is personally leading a siege. Hold the position through four waves and take him down when he shows.,激活集结点并放置诱饵，抵御4波敌方部队。
questAECDoomlordSiege_statement,quests,,false,Hold the fortified site against four waves then kill Demolishman.,先清除兴趣点内的敌人，抵御4波敌方部队。
questAECDoomlordSiege_response,quests,,false,AEC BOSS FIGHT ([DECEA3]{poi.distance} {poi.direction}[-]) [FF9900]{poi.name}[-],AEC 首领战 ([DECEA3]{poi.distance} {poi.direction}[-]) [FF9900]{poi.name}[-]
questAECDoomlordSiege_completion,quests,,false,Siege broken. Demolishman is dead. Remarkable.,契约完成，敌方威胁已经清除。领取你的报酬。
questAECDoomlordSiege_obj_kill,quests,,false,Kill the Doomlord: Demolishman,击杀末日领主: 爆破者
questAECDoomlord_obj_wave1,quests,,false,Wave 1: Eliminate Doomlord Forces,波 1: 消灭末日领主部队
questAECDoomlord_obj_wave2,quests,,false,Wave 2: Eliminate Doomlord Forces,波 2: 消灭末日领主部队
questAECDoomlord_obj_wave3,quests,,false,Wave 3: Eliminate Doomlord Forces,波 3: 消灭末日领主部队
questAECDoomlord_obj_wave4,quests,,false,Wave 4: Survive the Doomlord assault,波 4: 抵御末日领主突袭
questAECDoomlord_obj_wave5,quests,,false,Wave 5: Eliminate Doomlord Forces,波 5: 消灭末日领主部队
itemAECDoomlordHordeBundle,,,false,[FF4500]AEC[-] [FFD700]Doomlord Horde Bundle[-],[FF4500]AEC[-] [FFD700]末日领主尸群礼包[-]
itemAECDoomlordAssaultBundle,,,false,[FF4500]AEC[-] [FFD700]Doomlord Assault Bundle[-],[FF4500]AEC[-] [FFD700]末日领主突袭礼包[-]
itemAECDoomlordHuntBundle,,,false,[FF4500]AEC[-] [FFD700]Doomlord Hunt Bundle[-],[FF4500]AEC[-] [FFD700]末日领主猎杀礼包[-]
itemAECDoomlordSiegeBundle,,,false,[FF4500]AEC[-] [FFD700]Doomlord Siege Bundle[-],[FF4500]AEC[-] [FFD700]末日领主围攻礼包[-]
itemAECDoomlordContract_Grenadier,,,false,[00E5FF]AEC Hazard 3 |[-] [FFD700]Doomlord Contract | Grenadier Horde[-],[00E5FF]AEC 危险度 3 |[-] [FFD700]末日领主契约 | 掷弹兵尸群[-]
itemAECDoomlordContract_Rocket,,,false,[00E5FF]AEC Hazard 3 |[-] [FFD700]Doomlord Contract | Rocket Horde[-],[00E5FF]AEC 危险度 3 |[-] [FFD700]末日领主契约 | 火箭兵尸群[-]
itemAECDoomlordContract_Pistol,,,false,[00E5FF]AEC Hazard 3 |[-] [FFD700]Doomlord Contract | Pistol Horde[-],[00E5FF]AEC 危险度 3 |[-] [FFD700]末日领主契约 | 手枪兵尸群[-]
itemAECDoomlordContract_Shotgun,,,false,[00E5FF]AEC Hazard 3 |[-] [FFD700]Doomlord Contract | Shotgun Defense[-],[00E5FF]AEC 危险度 3 |[-] [FFD700]末日领主契约 | 霰弹枪兵防守[-]
itemAECDoomlordContract_Sniper,,,false,[00E5FF]AEC Hazard 3 |[-] [FFD700]Doomlord Contract | Sniper Horde[-],[00E5FF]AEC 危险度 3 |[-] [FFD700]末日领主契约 | 狙击手尸群[-]
